,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PALM2,6.82315965272724e-05,0.036576474,0.204,0.178,1,COCH+ Fb,PALM
CRTAP3,6.88322146116184e-05,0.042280003,0.627,0.612,1,COCH+ Fb,CRTAP
DENND6A2,6.92764874071743e-05,0.094425891,0.127,0.107,1,COCH+ Fb,DENND6A
TRMU3,6.99771847134086e-05,0.016075056,0.085,0.114,1,COCH+ Fb,TRMU
DUSP53,7.00081938418219e-05,0.088669171,0.16,0.138,1,COCH+ Fb,DUSP5
TCEAL93,7.00453273085854e-05,0.195951294,0.661,0.675,1,COCH+ Fb,TCEAL9
RFC15,7.09936049406257e-05,0.128743349,0.36,0.356,1,COCH+ Fb,RFC1
GABARAPL23,7.28188888596119e-05,0.026286707,0.612,0.602,1,COCH+ Fb,GABARAPL2
MORF4L14,7.44093948319329e-05,0.043659127,0.835,0.798,1,COCH+ Fb,MORF4L1
PGM2L13,7.67222398492151e-05,0.290934259,0.221,0.209,1,COCH+ Fb,PGM2L1
JMY3,7.91966924131878e-05,0.129572523,0.2,0.181,1,COCH+ Fb,JMY
TSPYL12,7.92807263883591e-05,0.142362349,0.28,0.271,1,COCH+ Fb,TSPYL1
AXIN22,7.92970648571126e-05,0.088019753,0.206,0.183,1,COCH+ Fb,AXIN2
FDX22,8.0131762456087e-05,0.026996946,0.094,0.125,1,COCH+ Fb,FDX2
DCP1A3,8.25060790159209e-05,0.108651995,0.264,0.251,1,COCH+ Fb,DCP1A
MFN23,8.32755603860841e-05,0.026982178,0.096,0.128,1,COCH+ Fb,MFN2
ZCRB13,8.34970430715217e-05,0.104284546,0.453,0.455,1,COCH+ Fb,ZCRB1
PPP4R3B3,8.35523633981292e-05,0.141126803,0.27,0.26,1,COCH+ Fb,PPP4R3B
TBC1D153,8.43076031992375e-05,0.117168657,0.274,0.262,1,COCH+ Fb,TBC1D15
ANKHD13,8.50328186293921e-05,0.022070332,0.147,0.189,1,COCH+ Fb,ANKHD1
BECN13,8.6474349540257e-05,0.011464163,0.168,0.212,1,COCH+ Fb,BECN1
ATM2,8.74530960974324e-05,0.18480849,0.279,0.268,1,COCH+ Fb,ATM
EFS3,8.85617946145094e-05,0.012071275,0.141,0.18,1,COCH+ Fb,EFS
LANCL11,8.86766372834252e-05,0.118440517,0.141,0.121,1,COCH+ Fb,LANCL1
MRPS254,8.99379109819435e-05,0.01391857,0.2,0.25,1,COCH+ Fb,MRPS25
ZNF8274,9.01582188275586e-05,0.019579999,0.129,0.167,1,COCH+ Fb,ZNF827
MSL21,9.0836035540106e-05,0.09821154,0.112,0.093,1,COCH+ Fb,MSL2
FRZB3,9.11172785616047e-05,0.100776733,0.075,0.101,1,COCH+ Fb,FRZB
VPS26A2,9.20201248894379e-05,0.132311094,0.298,0.289,1,COCH+ Fb,VPS26A
RNF116,9.24068897348e-05,0.137159966,0.322,0.319,1,COCH+ Fb,RNF11
SRSF62,9.3982184720513e-05,0.106342686,0.367,0.366,1,COCH+ Fb,SRSF6
EXOSC104,9.49595820403078e-05,0.144839631,0.16,0.142,1,COCH+ Fb,EXOSC10
PEX262,9.52588227926282e-05,0.010327227,0.08,0.107,1,COCH+ Fb,PEX26
PRRC2A2,9.62302977240051e-05,0.032292767,0.223,0.28,1,COCH+ Fb,PRRC2A
FAM208B4,9.64421910418522e-05,0.06411699,0.127,0.105,1,COCH+ Fb,FAM208B
ASB12,9.86117023450053e-05,0.014739941,0.11,0.143,1,COCH+ Fb,ASB1
RETREG33,9.98514775780586e-05,0.021828431,0.135,0.173,1,COCH+ Fb,RETREG3
EIF2B44,0.000100111291605419,0.011510474,0.117,0.152,1,COCH+ Fb,EIF2B4
EBAG93,0.000100249432756633,0.113337741,0.213,0.197,1,COCH+ Fb,EBAG9
USP383,0.000102690099442216,0.109378518,0.158,0.14,1,COCH+ Fb,USP38
MAGI35,0.000103600632890801,0.091105907,0.134,0.115,1,COCH+ Fb,MAGI3
ASPSCR16,0.000104749765234512,0.028011646,0.128,0.166,1,COCH+ Fb,ASPSCR1
MACF14,0.000105551836970854,0.137911115,0.484,0.491,1,COCH+ Fb,MACF1
SNRNP2005,0.000106430216688782,0.145123299,0.306,0.299,1,COCH+ Fb,SNRNP200
OTUD45,0.000107344612513651,0.015343695,0.133,0.169,1,COCH+ Fb,OTUD4
HIST1H1C4,0.000107469806669233,0.119384321,0.123,0.104,1,COCH+ Fb,HIST1H1C
