"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNC",0,1.62315236486403,0.597,0.138,0
"GSN",0,-2.8003391409153,0.686,0.89,0
"STOM",0,-0.82233165613251,0.267,0.506,0
"RPL35",0,-0.403097080002421,0.876,0.943,0
"ANGPTL2",0,0.546164615959747,0.662,0.501,0
"AK1",0,0.594091339989609,0.411,0.129,0
"C9orf16",0,0.691876069034041,0.711,0.521,0
"SWI5",0,0.337174343840795,0.455,0.25,0
"CERCAM",0,0.972357833140005,0.744,0.441,0
"PTGES",0,-0.502839524874016,0.127,0.309,0
"NCS1",0,0.319041417862158,0.313,0.092,0
"SURF4",0,0.478605371335604,0.613,0.401,0
"COL5A1",0,1.85745864479633,0.935,0.624,0
"SNHG7",0,-0.564323837298527,0.341,0.486,0
"PHPT1",0,0.696043705653838,0.822,0.694,0
"PTGDS",0,-2.84548179096394,0.259,0.64,0
"NPDC1",0,-0.380958058113624,0.12,0.272,0
"MAN1B1",0,0.276975439445476,0.418,0.209,0
"TUBB4B",0,-1.02016547271166,0.448,0.612,0
"MRPL41",0,0.421719708311757,0.586,0.396,0
"IFITM2",0,-0.709839149444943,0.629,0.776,0
"IFITM3",0,-0.377889849312723,0.878,0.922,0
"TSPAN4",0,-0.640540391212836,0.493,0.61,0
"CD81",0,-0.825615773724608,0.837,0.893,0
"DCHS1",0,0.255240654489598,0.332,0.116,0
"MRPL17",0,0.303925268253977,0.405,0.187,0
"OLFML1",0,-0.487827672810043,0.158,0.338,0
"ADM",0,-1.03456334717731,0.201,0.427,0
"DKK3",0,0.554213911406699,0.434,0.15,0
"MICAL2",0,0.488443054399935,0.298,0.026,0
"SPON1",0,0.729081860677491,0.606,0.272,0
"COPB1",0,0.330736118763322,0.515,0.312,0
"RPS13",0,-0.278459421978879,0.958,0.98,0
"LDHA",0,-0.470229192742492,0.721,0.781,0
"FIBIN",0,0.817013352347848,0.542,0.21,0
"LGR4",0,0.897764060330426,0.482,0.104,0
"RCN1",0,0.764580048885893,0.715,0.52,0
"CD59",0,-0.551408791128485,0.604,0.687,0
"CAT",0,-0.375189610504534,0.158,0.266,0
"CD44",0,-1.13691023675427,0.555,0.778,0
"C11orf96",0,-1.48425566529931,0.417,0.487,0
"CREB3L1",0,0.701445932322606,0.622,0.351,0
"MDK",0,2.02973069171435,0.88,0.508,0
"ARHGAP1",0,0.680734314465439,0.535,0.202,0
"SLC39A13",0,0.321104749047329,0.462,0.228,0
"FAM180B",0,-0.746259688810635,0.023,0.262,0
"SERPING1",0,-1.57018823940026,0.62,0.878,0
"AHNAK",0,-1.00154749803645,0.704,0.842,0
"EEF1G",0,0.72338735593887,0.437,0.205,0
"LRRN4CL",0,-0.714456086660201,0.039,0.328,0
"PPP1R14B",0,1.36253431103667,0.772,0.404,0
"PRDX5",0,0.55443861721793,0.759,0.664,0
"FAU",0,-0.395519982744338,0.937,0.969,0
"FIBP",0,0.363216883472653,0.496,0.291,0
"YIF1A",0,0.837808340825648,0.661,0.372,0
"CTSF",0,-0.521904308891674,0.371,0.476,0
"POLD4",0,0.312190921970307,0.355,0.13,0
"PPP1CA",0,0.290270689837183,0.448,0.241,0
"GSTP1",0,0.364932884472708,0.856,0.836,0
"NDUFS8",0,0.33629139216783,0.54,0.356,0
"C11orf24",0,0.423289518500997,0.437,0.155,0
"P4HA3",0,0.633951982935031,0.373,0.028,0
"SERPINH1",0,0.753296723308966,0.853,0.715,0
"LRRC32",0,0.289747624864194,0.425,0.223,0
"PCF11",0,-0.438502138465104,0.197,0.326,0
"SYTL2",0,0.304188332724495,0.359,0.158,0
"PRSS23",0,0.896876497996442,0.677,0.413,0
"SMCO4",0,0.4005735461496,0.373,0.112,0
"CEP126",0,-0.435938890118727,0.137,0.257,0
"CRYAB",0,-1.66905298508071,0.288,0.575,0
"HSPB2",0,-0.417068380491692,0.112,0.265,0
"PTS",0,0.30476692344611,0.413,0.228,0
"CADM1",0,0.699500206387147,0.38,0.082,0
"TAGLN",0,2.3814517422148,0.684,0.19,0
"ARCN1",0,0.283422517659533,0.472,0.268,0
"RPS25",0,-0.640844194229835,0.872,0.947,0
"H2AFX",0,-0.439990954491638,0.144,0.264,0
"THY1",0,0.593020417575824,0.861,0.741,0
"APLP2",0,-0.532869324738682,0.501,0.587,0
"AKR1C1",0,-0.698064444214295,0.19,0.359,0
"AKR1C2",0,-0.487467438484395,0.101,0.261,0
"AKR1C3",0,-0.465896183860068,0.276,0.392,0
"ITIH5",0,-1.37342462494767,0.102,0.516,0
"VIM",0,-0.388697589256559,0.993,0.997,0
"PLXDC2",0,0.714220948568266,0.625,0.345,0
"KIAA1217",0,0.6547433789681,0.456,0.126,0
"SVIL",0,-0.623755416033446,0.243,0.461,0
"JCAD",0,0.406755793698274,0.356,0.084,0
"MAP3K8",0,-0.606815079506213,0.173,0.369,0
"ITGB1",0,1.0804135670873,0.875,0.779,0
"CXCL12",0,-2.89689872981636,0.451,0.893,0
"ARID5B",0,-1.02671975782813,0.584,0.742,0
"NRBF2",0,0.288160276502966,0.434,0.238,0
"REEP3",0,0.257181136172086,0.488,0.3,0
"HNRNPH3",0,-0.51148775778932,0.457,0.52,0
"PPA1",0,-0.51506703646691,0.508,0.577,0
"VSIR",0,-0.519686753966987,0.04,0.257,0
"P4HA1",0,0.692146837250601,0.591,0.315,0
"PLAU",0,0.510738178417759,0.371,0.157,0
"VCL",0,0.398853754277427,0.52,0.31,0
"KCNMA1",0,0.675305978473634,0.275,0.018,0
"PLAC9",0,-1.22479832635263,0.755,0.924,0
"ADIRF",0,-2.09620731478197,0.346,0.788,0
"PAPSS2",0,0.437124432212741,0.406,0.121,0
"ACTA2",0,0.839043453501892,0.348,0.143,0
"ALDH18A1",0,0.346020310499839,0.36,0.099,0
"MARVELD1",0,0.311889099169834,0.509,0.286,0
"SH3PXD2A",0,0.413334177622175,0.616,0.414,0
"ADD3",0,-0.627305647444607,0.49,0.599,0
"GFRA1",0,-0.838135621690342,0.052,0.38,0
"BAG3",0,-0.565649981479174,0.362,0.462,0
"PLPP4",0,0.604097370091009,0.404,0.053,0
"HTRA1",0,1.85628420149754,0.951,0.758,0
"UROS",0,0.291154449710864,0.417,0.197,0
"ADAM12",0,2.30134035571091,0.75,0.087,0
"CCND2",0,0.310679184022995,0.384,0.22,0
"CD9",0,-1.47841749714241,0.275,0.622,0
"MRPL51",0,0.376760951790547,0.637,0.494,0
"GAPDH",0,0.460445540100231,0.893,0.878,0
"P3H3",0,0.563690612911083,0.575,0.28,0
"C1S",0,-1.15291250026133,0.753,0.913,0
"C1R",0,-1.27932706046872,0.775,0.928,0
"SLC2A3",0,-0.771816683999405,0.375,0.539,0
"MAGOHB",0,0.295491069385193,0.368,0.155,0
"YBX3",0,-0.736310004756175,0.661,0.782,0
"GPRC5A",0,-0.558837416704181,0.133,0.294,0
"EMP1",0,-0.901623373941123,0.578,0.733,0
"MGP",0,-1.00184618784909,0.895,0.97,0
"MGST1",0,-0.980524032934356,0.051,0.342,0
"GOLT1B",0,0.415110164797318,0.458,0.201,0
"BCAT1",0,0.38656341114516,0.263,0.022,0
"PPFIBP1",0,0.700127321814431,0.573,0.267,0
"CNTN1",0,0.475139708545126,0.451,0.25,0
"PRICKLE1",0,0.278914383487394,0.35,0.154,0
"SLC38A2",0,-0.723345037216468,0.55,0.665,0
"FKBP11",0,0.749474849063056,0.591,0.279,0
"TUBA1A",0,0.592690238125783,0.789,0.717,0
"TUBA1C",0,0.601757093196174,0.597,0.378,0
"METTL7A",0,-0.789606145169914,0.067,0.372,0
"ACVRL1",0,-0.4786891449067,0.154,0.319,0
"NR4A1",0,-1.26450365954809,0.347,0.675,0
"HNRNPA1",0,-0.688763768371939,0.657,0.759,0
"MYL6",0,0.525937730454436,0.945,0.928,0
"NACA",0,-0.290523218274432,0.93,0.964,0
"MSRB3",0,0.279613238336164,0.424,0.227,0
"RAP1B",0,0.462284731175637,0.687,0.546,0
"GLIPR1",0,0.377610172051451,0.37,0.153,0
"PHLDA1",0,-0.685403132375791,0.153,0.321,0
"CSRP2",0,1.32671278107727,0.637,0.268,0
"PAWR",0,0.267064459902854,0.336,0.148,0
"LUM",0,1.05185404974238,0.979,0.898,0
"DCN",0,-1.4537802722963,0.988,0.999,0
"BTG1",0,-1.53158018469228,0.446,0.73,0
"PLXNC1",0,0.316559389954485,0.314,0.073,0
"IKBIP",0,0.686182875398764,0.592,0.302,0
"GLT8D2",0,0.464213847098587,0.614,0.418,0
"ALDH1L2",0,0.423645665163234,0.405,0.131,0
"C12orf75",0,0.626891872780225,0.59,0.306,0
"CKAP4",0,1.06027412508636,0.724,0.43,0
"TMEM263",0,0.448913065742926,0.572,0.345,0
"ARPC3",0,0.563460023475671,0.757,0.639,0
"ALDH2",0,-0.414058924521902,0.111,0.261,0
"RPL6",0,-0.280318689035739,0.948,0.976,0
"WSB2",0,0.279288710745605,0.324,0.124,0
"PEBP1",0,-0.386963821746411,0.67,0.747,0
"MLEC",0,0.448314279267358,0.568,0.357,0
"CDK2AP1",0,0.438627394846277,0.476,0.285,0
"NCOR2",0,0.28956423404837,0.456,0.254,0
"UBC",0,-0.642419008674886,0.887,0.941,0
"GOLGA3",0,0.34257834877461,0.462,0.224,0
"SAP18",0,-0.534113531614875,0.688,0.749,0
"TNFRSF19",0,0.255617739012644,0.264,0.076,0
"RPL21",0,-0.530378173740749,0.898,0.955,0
"POMP",0,0.406166507714263,0.699,0.574,0
"MEDAG",0,-1.03827906727856,0.139,0.391,0
"DCLK1",0,-0.780797742065289,0.259,0.488,0
"POSTN",0,3.93098809468121,0.956,0.288,0
"LHFPL6",0,-0.895066456335431,0.484,0.696,0
"TSC22D1",0,-0.497819181886009,0.46,0.563,0
"TPT1",0,-0.379786520712015,0.968,0.991,0
"ITM2B",0,-0.435123461638125,0.886,0.928,0
"INTS6",0,-0.729426246496382,0.32,0.492,0
"LMO7",0,0.345697226302331,0.279,0.055,0
"KCTD12",0,-0.646595444793226,0.354,0.466,0
"MYCBP2",0,-0.687120473925288,0.324,0.472,0
"GPC6",0,0.442074029062309,0.309,0.05,0
"FARP1",0,0.412339853865835,0.501,0.252,0
"COL4A1",0,-0.44491442873563,0.154,0.321,0
"COL4A2",0,-0.524953843335943,0.176,0.365,0
"F10",0,-1.23046862548156,0.088,0.493,0
"GAS6",0,-0.58506540810718,0.5,0.59,0
"MRPL52",0,0.277877820746473,0.473,0.277,0
"MMP14",0,1.05616081734832,0.724,0.489,0
"PSME1",0,-0.640601347333794,0.439,0.575,0
"NOVA1",0,-0.797597654709304,0.139,0.387,0
"SRP54",0,0.273504694159728,0.404,0.231,0
"PSMA6",0,0.268987311077778,0.357,0.138,0
"NFKBIA",0,-1.86196719308777,0.582,0.83,0
"SEC23A",0,0.491885654750399,0.562,0.303,0
"MIA2",0,0.274832362584856,0.3,0.109,0
"SAV1",0,-0.800851949266045,0.306,0.499,0
"RTRAF",0,0.419855233865867,0.646,0.496,0
"NID2",0,0.56230143834283,0.462,0.169,0
"LGALS3",0,-0.891281847426794,0.823,0.941,0
"ARMH4",0,0.291207457526475,0.307,0.088,0
"HIF1A",0,0.516573397922004,0.579,0.345,0
"FUT8",0,0.282267405208928,0.381,0.154,0
"ZFP36L1",0,-1.23328258245303,0.729,0.888,0
"ACTN1",0,0.859362771747122,0.609,0.294,0
"NPC2",0,-0.556530531956045,0.615,0.725,0
"LTBP2",0,0.30535374062558,0.314,0.123,0
"FOS",0,-0.78011493216009,0.785,0.891,0
"TGFB3",0,0.584419863170389,0.496,0.216,0
"FBLN5",0,-0.581743943220523,0.438,0.529,0
"LGMN",0,0.525078722011069,0.534,0.312,0
"DDX24",0,-0.448791730590813,0.541,0.609,0
"EVL",0,0.472486488853238,0.478,0.2,0
"HSP90AA1",0,-1.01071194439865,0.791,0.885,0
"TNFAIP2",0,-1.19097655016058,0.178,0.536,0
"EIF5",0,-0.453082599914381,0.604,0.66,0
"CKB",0,-1.07226887260252,0.072,0.43,0
"CRIP1",0,-0.800091905517432,0.333,0.524,0
"GREM1",0,0.300668204978853,0.377,0.205,0
"SERF2",0,0.632644991833962,0.972,0.957,0
"B2M",0,-0.53000332446995,0.988,0.996,0
"FBN1",0,0.288397908879501,0.789,0.713,0
"FGF7",0,-1.01565294816609,0.221,0.555,0
"TPM1",0,1.22432826691506,0.812,0.579,0
"RPS27L",0,0.42828477435832,0.773,0.693,0
"PPIB",0,1.18669709093579,0.961,0.866,0
"ITGA11",0,0.451376004107444,0.418,0.121,0
"LOXL1",0,0.481999975038724,0.522,0.289,0
"ISLR",0,0.753341981550288,0.669,0.521,0
"CTSH",0,-0.472312185992889,0.275,0.426,0
"TMED3",0,0.444318954120156,0.639,0.447,0
"MFGE8",0,-0.78497388979896,0.467,0.592,0
"ANPEP",0,-0.471104290329868,0.223,0.351,0
"IDH2",0,0.55007136176848,0.443,0.129,0
"NR2F2",0,-0.543979164801059,0.236,0.372,0
"NME4",0,0.553519403814181,0.614,0.398,0
"METRN",0,0.901246778362695,0.498,0.168,0
"ELOB",0,0.482710942543759,0.842,0.78,0
"TNFRSF12A",0,1.17427970759755,0.649,0.275,0
"HCFC1R1",0,0.403320969571053,0.668,0.52,0
"IL32",0,-0.593039160110076,0.171,0.306,0
"VASN",0,-0.71297485862494,0.386,0.536,0
"ARL6IP1",0,-0.507537812785237,0.364,0.444,0
"RBBP6",0,-0.568032719640694,0.37,0.465,0
"NUPR1",0,-0.53272910475977,0.579,0.69,0
"VKORC1",0,0.771507035891528,0.798,0.645,0
"TGFB1I1",0,0.397597572168772,0.527,0.33,0
"MT2A",0,-2.82251650962983,0.489,0.844,0
"MT1E",0,-0.777318845318495,0.479,0.572,0
"MT1M",0,-1.84081770567138,0.116,0.515,0
"MT1A",0,-1.18282811754222,0.028,0.27,0
"CDH11",0,0.870117973642094,0.695,0.435,0
"CKLF",0,0.330440383463578,0.458,0.253,0
"CMTM3",0,0.289312305519915,0.501,0.315,0
"RRAD",0,-0.851442868255929,0.114,0.252,0
"TMEM208",0,0.809423754933741,0.628,0.336,0
"TPPP3",0,-1.07338143320942,0.126,0.386,0
"CMIP",0,0.44384598836967,0.403,0.123,0
"COTL1",0,0.292644302303468,0.36,0.162,0
"MAP1LC3B",0,-0.598848872959707,0.554,0.623,0
"ZNF469",0,0.701277131764112,0.423,0.047,0
"RPL13",0,-0.460541935671642,0.982,0.993,0
"TUBB3",0,0.407026302511603,0.287,0.066,0
"NXN",0,0.480698074217838,0.415,0.13,0
"MIR22HG",0,-0.735600319724576,0.283,0.445,0
"SERPINF1",0,-1.04396870457864,0.754,0.885,0
"TXNDC17",0,0.398894918152343,0.527,0.307,0
"RNASEK",0,0.493894903703474,0.458,0.273,0
"C17orf49",0,0.260889138039929,0.317,0.108,0
"GABARAP",0,0.85815307667071,0.51,0.375,0
"KDM6B",0,-0.77181078333699,0.189,0.39,0
"CHD3",0,0.317872923347987,0.468,0.257,0
"TRAPPC1",0,0.304290499504195,0.492,0.288,0
"PER1",0,-0.438239810239006,0.131,0.294,0
"RPL26",0,-0.608854706870706,0.895,0.968,0
"PMP22",0,-0.878733909904614,0.601,0.793,0
"RASD1",0,-1.46830006098949,0.106,0.5,0
"WSB1",0,-0.571715413931198,0.557,0.671,0
"IFT20",0,0.505048589213982,0.565,0.314,0
"RPL23A",0,-0.448954191976446,0.895,0.943,0
"CCL2",0,-2.37668205416858,0.105,0.453,0
"RPL23",0,-0.454824814258604,0.842,0.909,0
"IGFBP4",0,-0.622804524516946,0.759,0.797,0
"EIF1",0,-0.780922572253675,0.92,0.967,0
"P3H4",0,0.61722114511036,0.512,0.178,0
"FKBP10",0,0.843582840560613,0.757,0.533,0
"STAT3",0,-0.600387788537246,0.492,0.593,0
"HEXIM1",0,-0.660075486186518,0.25,0.4,0
"COPZ2",0,1.03780827087447,0.795,0.548,0
"SNF8",0,0.353208020038223,0.531,0.342,0
"COL1A1",0,1.7588923823632,1,0.981,0
"MRPL27",0,0.280823720147444,0.484,0.293,0
"LRRC59",0,0.478649399314074,0.532,0.283,0
"TOB1",0,-0.542692423890257,0.263,0.406,0
"NME1",0,0.445340592276165,0.543,0.316,0
"NME2",0,1.47570209751519,0.49,0.231,0
"SCPEP1",0,-0.714350543328444,0.258,0.474,0
"YPEL2",0,-0.409252006852375,0.15,0.286,0
"CLTC",0,0.314982526993199,0.542,0.345,0
"MRC2",0,0.430487352463241,0.76,0.597,0
"TANC2",0,0.504289701983796,0.359,0.066,0
"DDX5",0,-0.779580823208458,0.812,0.886,0
"KPNA2",0,-0.691626329745483,0.159,0.347,0
"ABCA8",0,-1.50426789440579,0.037,0.497,0
"ABCA6",0,-0.81899491009277,0.052,0.341,0
"CDC42EP4",0,-0.577409954726378,0.036,0.281,0
"RPL38",0,-0.510566423289438,0.802,0.903,0
"JPT1",0,0.555722427474511,0.468,0.197,0
"H3F3B",0,-0.656661338540067,0.819,0.874,0
"SPHK1",0,0.507573705272742,0.376,0.101,0
"CYGB",0,-0.773673989343527,0.084,0.32,0
"SRSF2",0,-0.458075747573935,0.532,0.6,0
"SOCS3",0,-1.83047961623074,0.345,0.639,0
"LGALS3BP",0,-0.597704044354042,0.36,0.507,0
"EIF4A3",0,-1.3008504556296,0.37,0.55,0
"P4HB",0,0.828123038223973,0.824,0.659,0
"ANAPC11",0,0.436543774628984,0.679,0.53,0
"PYCR1",0,0.695310838085868,0.546,0.197,0
"RAC3",0,0.466858029568319,0.287,0.025,0
"SLC16A3",0,0.460893988288168,0.34,0.046,0
"MYL12A",0,0.463591774944792,0.766,0.702,0
"ARHGAP28",0,0.48958550083021,0.37,0.07,0
"ANKRD12",0,-0.475961772927453,0.517,0.587,0
"RAB31",0,0.687142819818551,0.575,0.296,0
"APCDD1",0,-0.83138082979812,0.17,0.312,0
"PIEZO2",0,0.596765985409727,0.421,0.113,0
"GALNT1",0,0.678398452327432,0.521,0.207,0
"SLC39A6",0,0.299220280152342,0.41,0.184,0
"IER3IP1",0,0.452526766337295,0.545,0.323,0
"C18orf32",0,0.289356367521812,0.404,0.194,0
"LMAN1",0,0.893590033831899,0.784,0.581,0
"DSEL",0,0.318827930624112,0.483,0.298,0
"CYB5A",0,-0.414503126372289,0.483,0.595,0
"TXNL4A",0,0.682601788677845,0.613,0.334,0
"CPXM1",0,0.496600912421643,0.68,0.432,0
"PRNP",0,-0.85630652018211,0.439,0.639,0
"LAMP5",0,0.793994103673077,0.316,0.037,0
"RRBP1",0,0.952198329039179,0.845,0.665,0
"RIN2",0,0.300914330555766,0.385,0.197,0
"CST3",0,-1.66980351931401,0.92,0.988,0
"RBM39",0,-0.447784022650837,0.629,0.701,0
"MYL9",0,0.670859690214765,0.693,0.56,0
"SAMHD1",0,-0.620179715778965,0.128,0.338,0
"OSER1",0,-0.386181151680576,0.171,0.282,0
"WISP2",0,-1.2883806658303,0.238,0.518,0
"CTSA",0,0.45947948766711,0.589,0.368,0
"SULF2",0,1.17552530506993,0.642,0.193,0
"ZFAS1",0,-0.872623769023527,0.631,0.768,0
"SNAI1",0,-0.588146989079206,0.12,0.27,0
"UBE2V1",0,0.251875603577191,0.379,0.173,0
"CEBPB",0,-1.43815275388541,0.566,0.798,0
"PMEPA1",0,0.71729876893988,0.625,0.371,0
"GNAS",0,0.52201525658508,0.897,0.829,0
"ATP5F1E",0,0.538475412540631,0.915,0.882,0
"PSMA7",0,0.500837880488055,0.787,0.699,0
"ARFGAP1",0,0.392093119717805,0.37,0.117,0
"PPDPF",0,0.586833180372146,0.763,0.65,0
"CFD",0,-4.65849779705897,0.433,0.963,0
"CNN2",0,0.379724857961076,0.537,0.325,0
"GPX4",0,-0.346649938383293,0.787,0.847,0
"MIDN",0,-0.672815899520736,0.376,0.481,0
"CIRBP",0,-0.327983969045111,0.756,0.817,0
"RPS15",0,-0.451477828178628,0.957,0.982,0
"UQCR11",0,0.619658813291641,0.726,0.586,0
"OAZ1",0,-0.367617484079539,0.795,0.857,0
"LSM7",0,0.575040919637492,0.716,0.541,0
"GADD45B",0,-1.63722197010643,0.649,0.8,0
"AES",0,-0.446102338069661,0.202,0.434,0
"DAPK3",0,0.293284360365818,0.353,0.133,0
"MYDGF",0,0.603672667546852,0.749,0.598,0
"C3",0,-2.80962368096876,0.082,0.664,0
"TRIP10",0,-0.618416495141029,0.173,0.39,0
"TRAPPC5",0,0.328769099725346,0.32,0.101,0
"COL5A3",0,0.608017843193416,0.414,0.215,0
"ICAM1",0,-1.24196021407375,0.131,0.46,0
"JUNB",0,-1.94926797389884,0.72,0.912,0
"NFIX",0,-0.581253366939869,0.48,0.61,0
"IER2",0,-0.834450555489297,0.618,0.794,0
"C19orf53",0,0.386257894881996,0.677,0.569,0
"DNAJB1",0,-1.35422962232987,0.581,0.753,0
"TPM4",0,0.987121299101287,0.865,0.673,0
"KLF2",0,-0.732316205960949,0.291,0.497,0
"COMP",0,2.04513525822622,0.724,0.205,0
"HOMER3",0,0.376995552439729,0.422,0.173,0
"NDUFA13",0,0.43183464933029,0.64,0.601,0
"CILP2",0,0.795549890426735,0.295,0.037,0
"URI1",0,0.27202698260949,0.456,0.269,0
"FXYD1",0,-0.995472782551026,0.331,0.687,0
"ACTN4",0,0.472486505766768,0.558,0.326,0
"ZFP36",0,-1.7550050759796,0.583,0.878,0
"RPS16",0,-0.529249374247919,0.844,0.924,0
"SERTAD1",0,-0.661989648914046,0.394,0.531,0
"LTBP4",0,-1.18633250222161,0.274,0.546,0
"TGFB1",0,0.403073031027691,0.407,0.188,0
"RABAC1",0,0.74048692122882,0.856,0.756,0
"BCL3",0,-0.49493135277171,0.143,0.3,0
"APOE",0,-2.15840920765229,0.363,0.692,0
"FOSB",0,-0.770981262555261,0.605,0.788,0
"AP2S1",0,0.497103848674321,0.662,0.495,0
"EHD2",0,0.259431414801873,0.487,0.284,0
"NOP53",0,-1.10896232405733,0.46,0.695,0
"RPL18",0,-0.25483043030288,0.95,0.971,0
"PLEKHA4",0,-0.449841233163421,0.137,0.272,0
"PPP1R15A",0,-1.04115738203075,0.585,0.785,0
"BAX",0,0.471104878095717,0.509,0.258,0
"FTL",0,0.499903948759515,0.993,0.993,0
"RPL13A",0,-0.614575145235444,0.907,0.961,0
"FCGRT",0,-0.983139399880382,0.592,0.765,0
"RCN3",0,0.747729410945172,0.763,0.559,0
"CLEC11A",0,0.817634662110345,0.779,0.6,0
"ZNF331",0,-0.811862335856287,0.133,0.324,0
"MYADM",0,-0.665658297664323,0.494,0.612,0
"RPS9",0,-0.72175540395574,0.864,0.952,0
"ISOC2",0,0.580526475767198,0.566,0.297,0
"SSC5D",0,0.691024573853259,0.554,0.239,0
"A1BG",0,0.628998971071056,0.552,0.276,0
"RPS5",0,-0.40982705237888,0.893,0.938,0
"SCARF2",0,0.325765570630222,0.305,0.068,0
"MMP11",0,1.25037478818522,0.36,0.081,0
"MIF",0,0.889464485575049,0.629,0.508,0
"GGT5",0,-0.929067680478761,0.258,0.449,0
"UQCR10",0,0.672173903359493,0.758,0.558,0
"TIMP3",0,-1.13988163836258,0.394,0.683,0
"MYH9",0,0.708916704169762,0.563,0.273,0
"C1QTNF6",0,0.874438840069177,0.601,0.216,0
"LGALS1",0,1.29992780429565,0.985,0.969,0
"MAFF",0,-0.947724658811578,0.167,0.461,0
"KDELR3",0,0.849831049361022,0.67,0.342,0
"RPL3",0,-0.647488754057535,0.865,0.95,0
"ST13",0,-0.428709226964902,0.597,0.653,0
"TOB2",0,-0.416636147743031,0.219,0.336,0
"SMDT1",0,-0.397404251111966,0.393,0.479,0
"NDUFA6",0,0.446447727692141,0.609,0.417,0
"A4GALT",0,-0.387033332568061,0.192,0.322,0
"ARFGAP3",0,0.280779435783247,0.498,0.312,0
"FBLN1",0,-1.05260671164978,0.86,0.909,0
"PIM3",0,-0.542958917013194,0.185,0.347,0
"SOD1",0,-0.52386097258113,0.635,0.737,0
"MRPS6",0,0.957115653917702,0.573,0.281,0
"SLC5A3",0,0.651135820813738,0.419,0.163,0
"RCAN1",0,0.396023878373233,0.344,0.165,0
"TTC3",0,0.85381422845906,0.81,0.631,0
"PDXK",0,0.379158703226082,0.449,0.221,0
"COL6A1",0,1.25313237235688,0.993,0.965,0
"COL6A2",0,0.738937049009807,0.975,0.971,0
"MT-ND1",0,-0.84064953806752,0.848,0.941,0
"MT-ND2",0,-0.894615897197824,0.849,0.935,0
"MT-ATP6",0,-0.321541482401253,0.938,0.977,0
"MT-ND3",0,-0.507335867061768,0.826,0.956,0
"MT-ND4L",0,-0.642058400372859,0.617,0.731,0
"MT-CYB",0,-0.292544793906178,0.949,0.979,0
"ATP6V0C",0,0.482872973052088,0.391,0.128,0
"MICOS10",0,0.71624275201499,0.404,0.129,0
"CZIB",0,0.270089981175805,0.317,0.09,0
"LINC02802",0,0.320318514997061,0.311,0.072,0
"SEPTIN2",0,0.537684305004009,0.403,0.131,0
"SEPTIN11",0,1.49154132124645,0.429,0.114,0
"GASK1B",0,0.367707547759571,0.335,0.087,0
"TOMM6",0,0.306826578012373,0.354,0.114,0
"SNHG5",0,0.419351324594616,0.379,0.136,0
"CCN2",0,1.18944319372302,0.347,0.099,0
"SEPTIN7",0,0.545748427411372,0.413,0.147,0
"RBIS",0,0.286059632949376,0.357,0.122,0
"CCN4",0,0.455434695152167,0.291,0.019,0
"AOPEP",0,0.293253089186309,0.29,0.061,0
"CIAO2B",0,0.339328548970607,0.343,0.104,0
"SNHG29",0,0.54102069843552,0.416,0.153,0
"TLE5",0,0.36208982826237,0.366,0.116,0
"MICOS13",0,0.577864636006224,0.383,0.106,0
"CCN5",0,0.718514615409518,0.292,0.106,0
"PFDN5",3.73595994898888e-307,-0.284159239096077,0.845,0.909,1.44107183112348e-302
"EMID1",6.14691512877009e-306,0.36680821473206,0.332,0.183,2.37104957262049e-301
"TNFSF10",3.33480539769222e-305,-0.420958891979842,0.255,0.375,1.28633448605182e-300
"MIR99AHG",2.64256594422943e-304,0.376791550374035,0.494,0.317,1.01931696166762e-299
"SFPQ",1.01729764858316e-303,-0.42363547736856,0.574,0.624,3.92402221987983e-299
"EIF3E",1.15767418705613e-302,-0.39549444563274,0.577,0.649,4.4654966417316e-298
"DPP7",5.49613110805975e-302,-0.429942001911744,0.365,0.459,2.12002265231189e-297
"ACBD3",6.88476775200189e-302,0.324863005396371,0.51,0.335,2.65566146497969e-297
"ARPC4",7.33273547416167e-302,0.254572730982195,0.503,0.324,2.82845605444838e-297
"NABP1",8.24558885045030e-301,-0.441909266783061,0.151,0.26,3.18057098728419e-296
"EMP2",1.34762769504768e-298,-0.384659320844849,0.337,0.445,5.19820430810741e-294
"KITLG",2.36857820706527e-297,-0.445442144972603,0.221,0.327,9.13631671811288e-293
"HSPD1",5.11880170467128e-297,-0.823067733512991,0.505,0.558,1.97447538154285e-292
"CALR",7.27630577108671e-297,0.323387199523048,0.776,0.726,2.80668942508128e-292
"COX5A",1.23265118300798e-296,0.337156373423691,0.548,0.374,4.7547054082167e-292
"SH3GLB1",4.25611563272433e-295,0.355734237903097,0.657,0.501,1.64171148301075e-290
"GABARAPL1",3.63506068174884e-293,-0.43255477453339,0.252,0.352,1.40215195677098e-288
"KDELR1",1.37642391104214e-292,0.353660287527411,0.693,0.632,5.30927995206283e-288
"DPYSL2",3.23613935655341e-292,-0.494184981229711,0.46,0.527,1.24827603400335e-287
"LIMS1",9.06250346776682e-292,0.340576900558706,0.57,0.425,3.4956794626217e-287
"GLA",9.61483616306635e-292,-0.453493192960442,0.175,0.277,3.70873075317958e-287
"BCL6",5.02243282161558e-291,-0.387219531329194,0.201,0.311,1.93730301228178e-286
"PLTP",1.57107700606524e-290,-0.615347711144333,0.515,0.573,6.06011533549545e-286
