genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HES4,0,1.53988876805927,0.778,0.27,0
ISG15,0,0.974561684074844,0.728,0.479,0
AGRN,0,0.404785202000525,0.299,0.088,0
MMP23B,0,-1.94664983,0.16,0.747,0
TNFRSF14,0,0.325667945420791,0.269,0.081,0
FAM213B,0,0.145951631828204,0.111,0.009,0
MEGF6,0,-0.524798819,0.055,0.353,0
AJAP1,0,0.211104182560514,0.131,0.002,0
ERRFI1,0,0.967707506951913,0.447,0.101,0
PDPN,0,-0.808479197,0.05,0.439,0
FBLIM1,0,1.06577733655107,0.666,0.268,0
MFAP2,0,-1.993414647,0.156,0.764,0
NBL1,0,-1.441031568,0.664,0.852,0
CAMK2N1,0,1.15082164138061,0.671,0.289,0
ECE1,0,1.23863168272971,0.637,0.098,0
TRNP1,0,0.381001217890886,0.229,0.006,0
TINAGL1,0,2.09939878991501,0.738,0.011,0
COL16A1,0,-1.06988649,0.43,0.691,0
PHC2,0,0.798293345165435,0.598,0.286,0
SMIM12,0,0.475601011033093,0.472,0.253,0
GJA4,0,1.24657345756265,0.493,0.004,0
EVA1B,0,0.822258427178539,0.778,0.527,0
NDUFS5,0,0.501620138223458,0.915,0.782,0
MACF1,0,0.778263268311753,0.695,0.484,0
HEYL,0,0.521458901321044,0.316,0.02,0
BMP8B,0,0.576166183343284,0.317,0.001,0
CAP1,0,0.60416911989735,0.757,0.566,0
GPX7,0,-0.852623295,0.322,0.614,0
PODN,0,-0.750116789,0.289,0.609,0
C1orf123,0,0.231904278374168,0.464,0.176,0
SSBP3,0,0.521146271759894,0.396,0.115,0
JUN,0,-1.410560935,0.62,0.875,0
NFIA,0,0.598631940525787,0.472,0.245,0
PDE4B,0,0.294943100319068,0.145,0.021,0
SGIP1,0,1.01140699442863,0.495,0.039,0
ARHGAP29,0,1.01350166057215,0.555,0.145,0
F3,0,0.831751244940621,0.301,0.054,0
PLPPR4,0,0.660822226918751,0.362,0.024,0
COL11A1,0,-1.838637007,0.087,0.573,0
SARS,0,0.477130655436288,0.567,0.303,0
SORT1,0,0.410106856976131,0.252,0.009,0
CSF1,0,0.349496608473951,0.272,0.054,0
OLFML3,0,-1.857782831,0.317,0.807,0
ATP1A1,0,0.834640773608738,0.748,0.452,0
C1orf54,0,0.557348765886578,0.436,0.085,0
MRPS21,0,0.482389282191272,0.745,0.564,0
CTSK,0,-2.369527735,0.561,0.929,0
SELENBP1,0,0.53684057745134,0.348,0.096,0
S100A10,0,-1.308746798,0.806,0.967,0
S100A9,0,0.836817178574696,0.408,0.045,0
S100A8,0,0.545118467829038,0.363,0.075,0
S100A6,0,-0.84950825,0.995,1,0
S100A3,0,0.343390980938576,0.256,0.05,0
S100A16,0,-1.165143184,0.235,0.661,0
S100A13,0,-1.29965656,0.623,0.875,0
RAB13,0,1.02691674274644,0.899,0.641,0
RPS27,0,0.692436316084706,0.992,0.944,0
LMNA,0,0.615301366137837,0.957,0.837,0
CCT3,0,0.644205359402689,0.71,0.471,0
CRABP2,0,-2.11702327,0.186,0.792,0
PEAR1,0,0.319250157755735,0.21,0.007,0
TAGLN2,0,0.952309003632803,0.922,0.677,0
RGS5,0,3.15609476949743,0.693,0.033,0
MGST3,0,-0.66109204,0.895,0.925,0
RCSD1,0,0.418357026209776,0.254,0.002,0
DPT,0,-3.101010921,0.11,0.942,0
FMO3,0,1.21540691812731,0.415,0.009,0
FMO2,0,0.329951083463719,0.108,0.006,0
DNM3OS,0,-0.839237833,0.182,0.527,0
KIAA0040,0,0.697534313844501,0.426,0.049,0
GLUL,0,0.607021994795797,0.513,0.256,0
RGS16,0,1.42293389847968,0.607,0.237,0
LAMC1,0,0.769808745115674,0.742,0.52,0
ARPC5,0,0.74493515013374,0.852,0.668,0
HMCN1,0,-1.33709925,0.093,0.624,0
CSRP1,0,1.9783391733797,0.768,0.403,0
LMOD1,0,1.01259892567689,0.494,0.051,0
PPP1R12B,0,1.00006950424262,0.489,0.079,0
SOX13,0,0.162933689064833,0.119,0.012,0
NFASC,0,0.26028639361427,0.147,0.002,0
CDK18,0,0.253329545599332,0.156,0.004,0
CD55,0,-0.791967714,0.242,0.55,0
LAMB3,0,0.333009245940475,0.206,0.007,0
G0S2,0,1.06193726395337,0.269,0.035,0
BATF3,0,0.62451301466867,0.384,0.041,0
EPHX1,0,0.740008036678376,0.63,0.397,0
NID1,0,0.698717015364022,0.619,0.382,0
RPS7,0,0.385730094668855,0.992,0.983,0
ASAP2,0,0.401432953525991,0.332,0.106,0
ROCK2,0,0.707242561207725,0.634,0.375,0
TRIB2,0,0.484517718422249,0.366,0.093,0
SDC1,0,-1.150553237,0.086,0.56,0
ADCY3,0,1.17623123194591,0.598,0.105,0
OST4,0,-0.747862524,0.884,0.906,0
LBH,0,1.01377941770472,0.573,0.24,0
CRIM1,0,0.991776005084235,0.506,0.142,0
QPCT,0,-0.663087195,0.088,0.429,0
EPAS1,0,2.21278944267934,0.851,0.257,0
RHOQ,0,0.933086811592088,0.683,0.434,0
SPTBN1,0,0.893231032399171,0.675,0.357,0
B3GNT2,0,0.383593224939056,0.361,0.122,0
CYP26B1,0,0.60755100345204,0.223,0.039,0
ACTG2,0,1.58884953618981,0.268,0.005,0
MTHFD2,0,0.586767485931205,0.503,0.227,0
WDR54,0,0.348710996833822,0.295,0.092,0
LOXL3,0,0.223488250077317,0.175,0.012,0
POLE4,0,0.45510867221905,0.532,0.309,0
CAPG,0,-0.724252981,0.082,0.471,0
LINC01943,0,0.28166271451243,0.171,0.028,0
CYTOR,0,1.12429866492379,0.808,0.543,0
ARID5A,0,0.739827234813838,0.472,0.178,0
FHL2,0,0.878550973140681,0.621,0.407,0
NCK2,0,0.578433216590043,0.459,0.205,0
C2orf40,0,0.264735590609524,0.111,0.002,0
SEPT10,0,0.280211777177525,0.341,0.087,0
SMIM37,0,0.204552337527675,0.398,0.133,0
MIR4435-2HG,0,1.05423583467009,0.697,0.374,0
LYPD1,0,0.364619464514292,0.192,0.006,0
NCKAP5,0,0.636283475264822,0.346,0.028,0
KYNU,0,0.221596449639108,0.108,0.002,0
ARHGAP15,0,0.571509712678583,0.307,0.012,0
ZEB2,0,1.17635020630006,0.805,0.448,0
TEX41,0,0.594676780554142,0.352,0.01,0
TNFAIP6,0,-0.974564222,0.379,0.664,0
GALNT5,0,-0.919794578,0.11,0.536,0
DPP4,0,-0.680334489,0.035,0.347,0
FAP,0,-1.91702312,0.268,0.814,0
CSRNP3,0,0.41678311408354,0.2,0.039,0
KLHL23,0,0.268907073754769,0.161,0.006,0
MAP3K20,0,0.832503232554732,0.593,0.256,0
CHN1,0,1.3026877176656,0.735,0.389,0
LINC01116,0,-0.702357193,0.183,0.487,0
TFPI,0,1.59648710993748,0.747,0.07,0
COL3A1,0,-2.039603787,0.982,1,0
COL5A2,0,-1.457270675,0.867,0.967,0
NAB1,0,0.387592174840805,0.349,0.133,0
MYO1B,0,0.982255827053858,0.725,0.424,0
NABP1,0,0.728006617272232,0.381,0.14,0
CAVIN2,0,0.767211590865209,0.345,0.007,0
CFLAR,0,0.45882611077649,0.436,0.211,0
NRP2,0,-1.005705298,0.215,0.601,0
MAP2,0,0.220061101689495,0.136,0.003,0
FN1,0,-1.251642162,0.909,0.961,0
IGFBP2,0,0.922812894822743,0.493,0.143,0
TNS1,0,0.880504656288421,0.645,0.32,0
WNT6,0,0.300988130873989,0.111,0.001,0
DES,0,1.22456096367898,0.174,0.01,0
PTMA,0,1.62289880469468,0.999,0.946,0
EFHD1,0,0.621961207124193,0.371,0.053,0
ARL4C,0,-1.609188402,0.117,0.668,0
COL6A3,0,-0.98166515,0.823,0.954,0
RAMP1,0,0.991844899492555,0.267,0.028,0
ERFE,0,0.201066422282238,0.147,0.009,0
SEPT2,0,0.409003624447244,0.624,0.255,0
LRRN1,0,-0.779954848,0.033,0.356,0
CAMK1,0,0.33550473726653,0.303,0.084,0
RFTN1,0,0.355279903064649,0.272,0.084,0
RPL14,0,0.438484656033412,0.991,0.946,0
LAMB2,0,0.967088079324385,0.807,0.524,0
KLHDC8B,0,0.40989793109487,0.331,0.104,0
TKT,0,0.920951163501601,0.636,0.304,0
ARF4,0,-0.740036582,0.759,0.799,0
MAGI1,0,0.192767817293209,0.15,0.02,0
GXYLT2,0,-1.536837249,0.112,0.683,0
PROS1,0,0.539388447537488,0.399,0.156,0
MTRNR2L12,0,2.69465082402738,0.813,0.217,0
COL8A1,0,-1.143204903,0.197,0.592,0
FILIP1L,0,1.29388490575732,0.804,0.47,0
TMEM45A,0,-1.052040207,0.335,0.664,0
CCDC80,0,-1.935958166,0.74,0.95,0
POPDC2,0,0.285554133905292,0.178,0.014,0
SEMA5B,0,0.221448192283418,0.121,0.001,0
MYLK,0,2.31465586384699,0.784,0.178,0
KALRN,0,0.305660633166915,0.223,0.02,0
ABTB1,0,0.542408521147571,0.362,0.091,0
MGLL,0,1.27350472397102,0.606,0.068,0
RAB6B,0,0.238045774337385,0.208,0.047,0
CHST2,0,0.307851256057808,0.223,0.033,0
P2RY14,0,0.215411212243157,0.121,0.008,0
SSR3,0,-0.726196409,0.701,0.785,0
SERPINI1,0,0.49732537159919,0.234,0.045,0
EPHB3,0,-0.489527138,0.064,0.37,0
LPP,0,1.16088483275882,0.784,0.494,0
P3H2,0,0.239468045279252,0.153,0.003,0
CCDC50,0,0.497481509844489,0.511,0.279,0
LRRC15,0,-1.428130359,0.08,0.644,0
NCBP2-AS2,0,0.285710489575422,0.324,0.071,0
SPON2,0,-1.582229192,0.466,0.827,0
WDR1,0,0.643585954535382,0.653,0.458,0
SOD3,0,3.02197764911819,0.913,0.161,0
PDGFRA,0,-0.748522492,0.096,0.47,0
TMEM165,0,0.581906007803587,0.681,0.464,0
HOPX,0,1.67722074433443,0.512,0.113,0
IGFBP7,0,2.8856490449456,0.997,0.826,0
CXCL8,0,1.93131485697485,0.218,0.034,0
PARM1,0,0.907614335408772,0.459,0.013,0
SPARCL1,0,1.08166845872876,0.901,0.662,0
NPNT,0,0.198941321745366,0.131,0.002,0
OSTC,0,-1.202074054,0.762,0.889,0
ENPEP,0,0.887262562592141,0.467,0.05,0
FAM241A,0,0.734483323904341,0.289,0.031,0
SYNPO2,0,1.853474174,0.677,0.099,0
PDE5A,0,1.02682578261123,0.514,0.023,0
ANXA5,0,-0.712228134,0.877,0.907,0
SPRY1,0,0.675647756304996,0.382,0.065,0
INPP4B,0,0.845375888909454,0.389,0.044,0
EDNRA,0,1.03137209547225,0.609,0.22,0
SFRP2,0,-3.182512318,0.231,0.982,0
TENM3,0,-0.576495163,0.047,0.373,0
PDLIM3,0,1.11500734078209,0.546,0.228,0
MRPL36,0,0.539727375604156,0.647,0.431,0
SEMA5A,0,0.473893635105289,0.446,0.174,0
BASP1,0,-0.889833059,0.504,0.755,0
CDH6,0,0.55440180883919,0.292,0.009,0
C1QTNF3,0,-1.923603555,0.066,0.653,0
EGFLAM,0,0.981901008216737,0.491,0.017,0
OSMR,0,1.04289007325112,0.638,0.231,0
ITGA1,0,1.52947678624083,0.69,0.177,0
GPX8,0,-1.255784823,0.44,0.759,0
BTF3,0,0.561602846712696,0.941,0.804,0
VCAN,0,-1.247100128,0.525,0.825,0
EDIL3,0,-0.969892418,0.419,0.652,0
MEF2C,0,1.2332597586852,0.616,0.124,0
ST8SIA4,0,0.256301926737884,0.14,0.005,0
NREP,0,-1.039472182,0.445,0.723,0
LOX,0,-1.831812689,0.262,0.784,0
PPIC,0,-1.917944926,0.647,0.932,0
P4HA2,0,-1.154062118,0.435,0.731,0
SEPT8,0,0.42309490703716,0.366,0.074,0
CXCL14,0,-1.534093762,0.164,0.695,0
TMEM173,0,0.655889998963337,0.477,0.114,0
PCDH1,0,0.407129699240817,0.263,0.003,0
SPRY4,0,0.439919084707726,0.26,0.009,0
NR3C1,0,0.598632370228986,0.567,0.318,0
DPYSL3,0,-0.776791041,0.173,0.557,0
IL17B,0,0.160562706500279,0.122,0.003,0
CARMN,0,1.83377203995986,0.674,0.098,0
PDGFRB,0,1.91532019852344,0.942,0.559,0
SYNPO,0,0.627165193882331,0.343,0.054,0
GPX3,0,0.864434907035445,0.372,0.017,0
TNIP1,0,0.649552632814012,0.469,0.207,0
ANXA6,0,0.7602549742008,0.712,0.502,0
SPARC,0,-1.819871102,0.981,1,0
SGCD,0,-0.695175494,0.128,0.49,0
CYFIP2,0,0.667597244683885,0.331,0.013,0
EBF1,0,0.911411496042789,0.605,0.233,0
LINC02202,0,0.200021062459637,0.149,0.011,0
KCNMB1,0,0.562831895455528,0.293,0.002,0
NEURL1B,0,0.935926318438407,0.459,0.011,0
HRH2,0,0.512570474192737,0.197,0.002,0
CLTB,0,0.531553426895612,0.719,0.495,0
COL23A1,0,0.378195750676883,0.193,0.004,0
RACK1,0,0.874040142643482,0.986,0.862,0
ID4,0,1.02320741814056,0.695,0.359,0
SOX4,0,-0.909968858,0.543,0.742,0
HLA-F,0,0.830482258831505,0.515,0.112,0
HLA-A,0,1.70542075916014,0.976,0.728,0
HLA-E,0,1.10500404,0.866,0.571,0
HLA-C,0,1.18350990656927,0.963,0.727,0
HLA-B,0,1.9269935964283,0.976,0.666,0
CLIC1,0,0.860853318110233,0.913,0.755,0
C6orf48,0,0.553921101527354,0.407,0.098,0
GPSM3,0,0.255247499279069,0.188,0.02,0
PSMB8,0,0.700905869616501,0.613,0.344,0
PSMB9,0,0.827396187692605,0.535,0.156,0
TAPBP,0,0.657354669534813,0.622,0.367,0
C6orf106,0,0.190510958724186,0.189,0.032,0
RPL10A,0,0.585383164168156,0.978,0.833,0
FKBP5,0,0.360103416475206,0.235,0.055,0
DAAM2,0,0.570797546026337,0.386,0.068,0
MOCS1,0,0.436363418481132,0.253,0.014,0
TREM1,0,0.242555475689852,0.121,0.007,0
RUNX2,0,-0.687771586,0.113,0.423,0
ADGRF5,0,1.19212194949438,0.564,0.006,0
TNFRSF21,0,0.513297926879475,0.231,0.019,0
COL12A1,0,-1.598708405,0.664,0.857,0
FHL5,0,0.436492520639619,0.235,0.001,0
C6orf203,0,0.170530226895622,0.197,0.037,0
LAMA4,0,1.02415518144599,0.81,0.525,0
MARCKS,0,-1.518151325,0.773,0.937,0
COL10A1,0,-0.563196269,0.039,0.329,0
FAM162B,0,0.63719364847182,0.305,0.002,0
PLN,0,0.535104261022501,0.244,0.026,0
GJA1,0,-1.982748268,0.114,0.722,0
MAP3K5,0,0.287949314165084,0.191,0.011,0
UTRN,0,0.690846152835526,0.524,0.268,0
FNDC1,0,-1.00961461,0.11,0.526,0
SMOC2,0,0.998441578354775,0.624,0.324,0
LINC02544,0,-0.582534484,0.044,0.325,0
THBS2,0,-1.406876101,0.617,0.823,0
PDGFA,0,1.60885465126776,0.705,0.143,0
AC147651.4,0,0.160982735698066,0.117,0.001,0
MICALL2,0,0.341586684281192,0.284,0.082,0
MAFK,0,0.494638242558374,0.309,0.082,0
TTYH3,0,-0.655026697,0.171,0.483,0
FSCN1,0,-0.938867347,0.243,0.608,0
RAC1,0,0.846761035069482,0.924,0.718,0
KDELR2,0,-0.887227637,0.793,0.88,0
NDUFA4,0,-0.709524933,0.77,0.89,0
TSPAN13,0,-1.299354896,0.057,0.59,0
FKBP14,0,-0.856155948,0.33,0.626,0
INMT,0,0.336169213246062,0.19,0.009,0
SEPT7,0,0.682044268263431,0.745,0.372,0
SFRP4,0,-2.585684987,0.113,0.612,0
RALA,0,-0.900397335,0.379,0.635,0
MRPL32,0,0.49638281888831,0.542,0.297,0
AEBP1,0,-0.840189355,0.893,0.916,0
PPIA,0,1.05519912816146,0.956,0.725,0
SNHG15,0,0.947159456522603,0.514,0.118,0
IGFBP3,0,-1.237070077,0.089,0.378,0
SEC61G,0,-0.957321146,0.839,0.916,0
ELN,0,-1.901458989,0.123,0.512,0
HIP1,0,0.401828194161362,0.339,0.112,0
HSPB1,0,0.880059513066596,0.88,0.696,0
GNAI1,0,0.498006465791742,0.423,0.185,0
SEMA3C,0,-0.763013196,0.05,0.397,0
STEAP4,0,2.37738302550734,0.688,0.025,0
FZD1,0,-0.62592491,0.151,0.484,0
COL1A2,0,-2.306103698,0.984,1,0
PCOLCE,0,-0.903848253,0.917,0.955,0
POLR2J3.1,0,0.720445158890274,0.41,0.051,0
LRRC17,0,-1.240611696,0.13,0.557,0
NAMPT,0,1.51998929543417,0.617,0.26,0
PRKAR2B,0,0.365129612629714,0.187,0.027,0
CAV2,0,1.05916194794669,0.688,0.306,0
CAV1,0,1.91366350663263,0.932,0.575,0
TSPAN12,0,0.190864641181722,0.14,0.015,0
CALU,0,-0.674627776,0.791,0.819,0
CALD1,0,0.83740550750185,0.993,0.939,0
PTN,0,-2.469090739,0.239,0.72,0
HIPK2,0,0.707741778893573,0.479,0.175,0
ABCF2.1,0,0.240211382068387,0.209,0.026,0
CD99,0,-1.13944536,0.924,0.957,0
MXRA5,0,-1.653273257,0.203,0.732,0
ARHGAP6,0,0.389807293117722,0.259,0.022,0
TMSB4X,0,1.21017999073058,0.997,0.938,0
GPM6B,0,1.52898067739869,0.6,0.088,0
PRDX4,0,-1.918364548,0.705,0.934,0
MAOA,0,0.178160520107196,0.101,0.005,0
MSN,0,0.622119483257809,0.713,0.525,0
SLC25A5,0,0.65779708437712,0.814,0.627,0
RPL39,0,-0.665559156,0.991,0.994,0
SLITRK2,0,0.208979583400414,0.124,0.001,0
SSR4,0,-0.706025548,0.872,0.882,0
FLNA,0,1.38888453403174,0.889,0.63,0
ANGPT2,0,1.16089615750234,0.51,0.026,0
DLC1,0,0.752406174852828,0.669,0.382,0
SLC7A2,0,1.04209902823295,0.501,0.07,0
PDGFRL,0,-1.638870795,0.252,0.75,0
MTUS1,0,0.412532140680211,0.266,0.082,0
CSGALNACT1,0,1.14246177911595,0.576,0.103,0
LPL,0,0.323977670131335,0.123,0.009,0
LZTS1,0,0.681890907799061,0.399,0.097,0
EBF2,0,0.4713878391813,0.301,0.039,0
CLU,0,-1.043659101,0.11,0.49,0
RBPMS,0,1.1907217161554,0.7,0.217,0
NRG1,0,-0.726985994,0.041,0.368,0
ZNF703,0,0.576864447992728,0.491,0.225,0
ADGRA2,0,0.825836376024271,0.621,0.308,0
FGFR1,0,-0.896319192,0.207,0.592,0
TACC1,0,0.911803607691449,0.697,0.385,0
TCIM,0,0.945004700347922,0.423,0.047,0
CEBPD,0,1.3120834823896,0.812,0.517,0
RPS20,0,-1.044702004,0.787,0.859,0
PI15,0,1.24556926715578,0.343,0.002,0
ZFHX4,0,-0.646023499,0.062,0.427,0
PAG1,0,0.822353426804543,0.424,0.05,0
C8orf59,0,0.199110222196178,0.549,0.231,0
SDC2,0,0.727124267045417,0.772,0.582,0
CTHRC1,0,-3.369021235,0.269,0.995,0
ANGPT1,0,0.427246652073653,0.261,0.054,0
COL14A1,0,-1.210174709,0.798,0.93,0
PTK2,0,0.815076680602867,0.582,0.259,0
DENND3,0,0.170105471464441,0.104,0.007,0
PTP4A3,0,1.07060532664587,0.446,0.055,0
SCX,0,-1.275519466,0.059,0.402,0
RPL8,0,0.521089799702186,0.991,0.971,0
DMRT3,0,0.210648276099066,0.124,0.001,0
LURAP1L,0,0.709014544128654,0.395,0.106,0
PSIP1,0,0.495500573311422,0.395,0.126,0
BNC2,0,-0.666017079,0.087,0.436,0
MOB3B,0,0.349239308345278,0.229,0.05,0
STOML2,0,0.543741192199647,0.613,0.398,0
TPM2,0,1.50809846158563,0.965,0.835,0
TLN1,0,0.547036835913053,0.773,0.583,0
KLF9,0,0.756801569490019,0.685,0.398,0
ANXA1,0,-1.124508314,0.766,0.896,0
PRUNE2,0,0.566805378467271,0.391,0.148,0
FRMD3,0,0.445680850221948,0.246,0.017,0
GOLM1,0,-1.562324186,0.233,0.726,0
GAS1,0,-1.002358867,0.179,0.561,0
OGN,0,-2.618443516,0.084,0.809,0
OMD,0,-0.908274172,0.054,0.472,0
ASPN,0,-3.186611719,0.381,0.956,0
C9orf3,0,1.19681480268479,0.644,0.145,0
AAED1,0,0.506605854518261,0.419,0.095,0
ANP32B,0,0.584161115131827,0.679,0.479,0
COL15A1,0,1.57670368441119,0.551,0.097,0
UGCG,0,1.14565508310978,0.66,0.245,0
GSN,0,0.745529719781224,0.894,0.686,0
STOM,0,1.85954358659936,0.855,0.267,0
DAB2IP,0,0.406050900621583,0.314,0.091,0
OLFML2A,0,0.533312886972542,0.256,0.008,0
RPL35,0,0.69632033257593,0.984,0.883,0
FAM129B,0,0.687665016169515,0.431,0.06,0
SH2D3C,0,0.420005481934444,0.237,0.003,0
DNM1,0,-0.513005352,0.086,0.407,0
CERCAM,0,-1.274763346,0.488,0.766,0
IER5L,0,1.03734410340261,0.678,0.298,0
GBGT1,0,0.176303943826438,0.122,0.012,0
SLC2A6,0,0.218078011806104,0.162,0.007,0
COL5A1,0,-1.504218194,0.736,0.939,0
PHPT1,0,-0.737485813,0.789,0.864,0
EDF1,0,0.52749780770092,0.926,0.758,0
TUBB4B,0,0.918139663799656,0.719,0.476,0
NRARP,0,0.326080889596614,0.193,0.019,0
IFITM2,0,1.5152755591673,0.953,0.635,0
IFITM1,0,1.16505061597277,0.687,0.303,0
IFITM3,0,1.33939665575108,0.992,0.891,0
SIGIRR,0,0.42896964987019,0.409,0.177,0
LSP1,0,-0.657856447,0.121,0.412,0
CD81,0,0.957611276013375,0.974,0.857,0
PHLDA2,0,0.846685203340153,0.55,0.214,0
OR51E1,0,0.214794433371272,0.124,0,0
CAVIN3,0,0.834753268305017,0.836,0.703,0
ILK,0,0.762150327938303,0.723,0.522,0
DCHS1,0,-0.474927254,0.04,0.37,0
ST5,0,0.405790966718662,0.418,0.183,0
MTRNR2L8,0,0.778553757178297,0.522,0.149,0
MRVI1,0,1.01821090517528,0.522,0.045,0
SPON1,0,-1.250225448,0.096,0.624,0
NUCB2,0,-1.081630837,0.468,0.747,0
LDHA,0,0.915917184177918,0.919,0.749,0
HTATIP2,0,0.437965211695474,0.358,0.129,0
FIBIN,0,-1.2800323,0.066,0.59,0
LGR4,0,-0.913302641,0.096,0.499,0
CD59,0,1.52059933780243,0.918,0.621,0
CD44,0,1.37159999958625,0.896,0.567,0
C11orf96,0,2.93276945581032,0.89,0.413,0
CREB3L1,0,-1.011314367,0.313,0.648,0
MDK,0,-2.673194175,0.428,0.925,0
SERPING1,0,1.38508294943769,0.901,0.612,0
FADS3,0,1.24064201951849,0.611,0.066,0
UBXN1,0,0.883736184804036,0.765,0.461,0
NRXN2,0,0.232640869840002,0.144,0.009,0
RASGRP2,0,0.684675398972448,0.39,0.006,0
FAU,0,0.405961736384476,0.989,0.969,0
SSSCA1,0,0.298882324101708,0.385,0.108,0
EHBP1L1,0,0.397698503805193,0.363,0.128,0
CFL1,0,0.799117305848286,0.957,0.799,0
CDK2AP2,0,0.392934429526566,0.332,0.116,0
MRGPRF,0,0.713237619822811,0.609,0.407,0
CCND1,0,1.11679578442326,0.506,0.171,0
ANO1,0,0.811070209056622,0.454,0.067,0
ARHGEF17,0,0.734785498874715,0.513,0.162,0
P4HA3,0,-0.644762828,0.086,0.411,0
RPS3,0,0.510613259964365,0.991,0.97,0
SERPINH1,0,-0.610956015,0.826,0.869,0
SYTL2,0,0.679236771287977,0.598,0.369,0
CTSC,0,1.56081376551287,0.734,0.245,0
ARHGAP42,0,0.467857350698496,0.42,0.198,0
TRPC6,0,0.557288418326375,0.308,0.004,0
GUCY1A2,0,0.822247513934924,0.541,0.269,0
CRYAB,0,0.781989000966303,0.639,0.303,0
HSPB2,0,0.43570685406673,0.326,0.115,0
TAGLN,0,2.40458828178938,0.957,0.691,0
SCN4B,0,0.25670974341669,0.136,0.01,0
MCAM,0,2.5651173761227,0.823,0.026,0
CLMP,0,-0.7615191,0.063,0.49,0
NRGN,0,0.391383821521422,0.219,0.002,0
ESAM,0,1.05102887089369,0.511,0.012,0
ETS1,0,0.937328794066387,0.647,0.246,0
PFKP,0,0.437560830811482,0.368,0.138,0
CELF2,0,-0.511282624,0.102,0.403,0
CCDC3,0,0.553588144322832,0.298,0.054,0
FRMD4A,0,0.572381370230288,0.385,0.094,0
PLXDC2,0,-1.335645975,0.097,0.636,0
RASSF4,0,0.270524044005395,0.187,0.033,0
DEPP1,0,1.38265582419935,0.376,0.046,0
FAM13C,0,0.580823692688214,0.302,0.033,0
SRGN,0,0.897512925788187,0.359,0.031,0
HK1,0,0.450753713357427,0.425,0.197,0
TSPAN15,0,0.547103969336002,0.293,0.003,0
VSIR,0,0.650190907402453,0.385,0.03,0
PSAP,0,-0.925010233,0.822,0.848,0
VCL,0,0.653881825801831,0.729,0.525,0
KCNMA1,0,-0.706242181,0.037,0.314,0
ANXA11,0,0.730212833752449,0.752,0.503,0
FAM213A,0,0.772782266015161,0.349,0.021,0
LDB3,0,0.27782350644791,0.12,0.003,0
SNCG,0,0.663029433563443,0.296,0.009,0
ADIRF,0,2.71712385392174,0.915,0.358,0
PTEN,0,0.73352975930037,0.669,0.4,0
ACTA2,0,4.0137070932759,0.866,0.343,0
IFIT3,0,0.493486808084613,0.306,0.105,0
PDLIM1,0,1.675488454,0.858,0.454,0
TRIM8,0,0.634960532078693,0.535,0.269,0
ADD3,0,-0.562187641,0.183,0.493,0
AFAP1L2,0,0.207896897217417,0.152,0.019,0
GRK5,0,0.415310825073445,0.294,0.058,0
PLPP4,0,-0.757748752,0.043,0.467,0
HTRA1,0,-2.677377732,0.72,0.974,0
ADAM12,0,-1.806371798,0.296,0.765,0
PTPRE,0,0.466010682087437,0.303,0.032,0
FKBP4,0,0.508369426185191,0.407,0.143,0
CD9,0,1.13463773211544,0.628,0.27,0
TNFRSF1A,0,0.93748101357886,0.776,0.473,0
GAPDH,0,1.30027511781408,0.992,0.918,0
PTMS,0,0.914506757438511,0.931,0.727,0
CD4,0,0.559085306779326,0.272,0.005,0
TPI1,0,0.676034134690228,0.914,0.765,0
PHB2,0,0.584073433508986,0.709,0.519,0
C1R,0,0.925572048204566,0.939,0.769,0
CD163L1,0,0.266299104550809,0.184,0.002,0
MFAP5,0,-1.825075797,0.083,0.638,0
A2M,0,3.25327553374958,0.925,0.059,0
CLEC2B,0,-1.427262219,0.266,0.698,0
YBX3,0,0.79744568803382,0.864,0.676,0
APOLD1,0,0.810881711881494,0.402,0.052,0
H2AFJ,0,1.31115984375524,0.853,0.435,0
ARHGDIB,0,1.55626740191742,0.617,0.06,0
RERG,0,0.834424734384412,0.46,0.042,0
EPS8,0,1.9651416515616,0.862,0.243,0
PDE3A,0,0.582093379802525,0.382,0.102,0
LDHB,0,0.679853204604137,0.81,0.61,0
KCNJ8,0,1.20306663250345,0.535,0.053,0
ABCC9,0,1.33995850654386,0.613,0.12,0
SOX5,0,0.240954472552623,0.148,0.005,0
STK38L,0,0.480830424410151,0.345,0.101,0
TSPAN11,0,0.42700096323233,0.216,0.043,0
FGD4,0,0.380538218295612,0.201,0.018,0
CNTN1,0,-1.012111203,0.054,0.494,0
PRICKLE1,0,-0.523439923,0.051,0.358,0
KRT6B,0,0.556440352749676,0.249,0.013,0
KRT6C,0,0.384544543281475,0.185,0.006,0
KRT6A,0,0.724011841723266,0.306,0.019,0
KRT5,0,0.607992123375305,0.289,0.082,0
KRT8,0,0.374153668366188,0.217,0.005,0
KRT18,0,0.798892711700818,0.327,0.004,0
TNS2,0,0.610127761238487,0.468,0.168,0
IGFBP6,0,-1.230101683,0.383,0.653,0
PFDN5,0,0.800779061431056,0.975,0.869,0
AC073611.1,0,0.267960676887249,0.22,0.039,0
C12orf10,0,0.61430673435235,0.524,0.202,0
ATP5MC2,0,0.57659944902543,0.91,0.772,0
ITGA7,0,1.46514595588313,0.667,0.009,0
RDH5,0,0.631297524010993,0.341,0.019,0
