genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MRFAP1L1,0.387627948925015,0.0377527794015314,0.204,0.223,1
TTC39B,0.390090093870242,0.0228068808768592,0.146,0.147,1
MRPL14,0.39103129191319,-0.134480233,0.566,0.573,1
H6PD,0.395915273180536,0.0191559481779632,0.2,0.205,1
COQ7,0.403074447664165,0.0219523983093614,0.1,0.108,1
TOPORS,0.405063713282926,0.0175858921307293,0.238,0.246,1
NPM3,0.410285586222262,-0.013554974,0.163,0.175,1
DOCK1,0.410361963671495,0.0429498764805768,0.265,0.279,1
KLHL24,0.415266075852458,0.0606615380500113,0.245,0.256,1
TXNDC9,0.415503198595402,-0.09671696,0.334,0.359,1
PDXDC1,0.415578893550469,-0.038186875,0.369,0.39,1
NCBP1,0.416306136981101,0.029913602196255,0.116,0.115,1
AAGAB,0.416842042133814,0.0249801352754504,0.123,0.123,1
CHD2,0.417668090767672,0.0638354755592273,0.266,0.292,1
DCBLD2,0.418534492250166,-0.041002437,0.318,0.332,1
NCDN,0.419120932645087,0.0181340039639002,0.121,0.13,1
ACP2,0.419434568005477,0.0190057016221494,0.172,0.174,1
XBP1,0.420596149337843,-0.160488218,0.589,0.601,1
PEMT,0.420906053582607,-0.01027415,0.217,0.234,1
CCDC149,0.428988712078416,-0.012137133,0.159,0.169,1
DYNC1LI1,0.429658359448541,-0.040941862,0.35,0.366,1
CTR9,0.42967732697599,0.0401648734860495,0.192,0.198,1
REL,0.433188359959064,-0.126804642,0.209,0.215,1
TBC1D15,0.441554020875188,0.026139235555605,0.239,0.249,1
MRPL30,0.442524807474063,0.0347614279205258,0.128,0.129,1
SEC16A,0.443560415361084,0.0311904876023863,0.245,0.268,1
SMAP1,0.444568995125413,-0.078135104,0.379,0.399,1
NIPSNAP2,0.445627484511054,-0.060448387,0.331,0.358,1
DNAJB2,0.448023944020713,0.0111014069657748,0.179,0.182,1
ABHD5,0.451074940093614,0.0123073093582127,0.184,0.196,1
POM121,0.452298286204341,0.0323902920533717,0.174,0.178,1
CMTM4,0.453685488538709,0.0162709760070105,0.149,0.159,1
UBAP2,0.456220278947832,0.0223672268239724,0.171,0.174,1
MSL3,0.456928629804985,-0.014426171,0.218,0.234,1
ELOB,0.458131943738268,-0.025305756,0.913,0.876,1
SELENOM,0.467639403439104,0.0155207597534566,0.955,0.935,1
ASH2L,0.468565199888046,0.0204921216315403,0.141,0.142,1
