,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Dync2h11,2.42116889278502e-21,0.0235047739572318,0.158,0.096,4.82321055131703e-17,Fibroblast,Dync2h1
Gon4l2,2.70105685039599e-21,0.0125875265896707,0.239,0.158,5.38077535167385e-17,Fibroblast,Gon4l
Cnot102,2.75103873827947e-21,0.0284031876028666,0.187,0.119,5.48034427052654e-17,Fibroblast,Cnot10
Parp82,2.77112407438983e-21,0.0355226299078396,0.192,0.123,5.52035626859199e-17,Fibroblast,Parp8
Hdhd22,2.83080370772295e-21,0.019683047428412,0.163,0.1,5.63924406615488e-17,Fibroblast,Hdhd2
Rnaseh2a1,3.36091651483535e-21,0.0348216122070859,0.14,0.083,6.69528178920351e-17,Fibroblast,Rnaseh2a
Egflam2,3.73442077239374e-21,0.0408551343902942,0.146,0.088,7.43933962068557e-17,Fibroblast,Egflam
Mad2l21,4.34454063226949e-21,0.0451255124761862,0.111,0.062,8.65475939354405e-17,Fibroblast,Mad2l2
Tubgcp21,4.95318821283149e-21,0.0151712429273746,0.145,0.086,9.86724623878162e-17,Fibroblast,Tubgcp2
Arhgef10l2,5.58516112149923e-21,0.0233347515757505,0.155,0.094,1.11261994701386e-16,Fibroblast,Arhgef10l
Mecr1,5.69356294648571e-21,0.0267725243930343,0.108,0.06,1.13421467456942e-16,Fibroblast,Mecr
Pdcd2,6.37826042258621e-21,0.0251948516234547,0.101,0.055,1.2706132587834e-16,Fibroblast,Pdcd2
Smarcad11,6.77022919104355e-21,0.0260395817594533,0.205,0.133,1.34869735714778e-16,Fibroblast,Smarcad1
Ikzf52,6.80581066227396e-21,0.0119373211717835,0.19,0.121,1.3557855420316e-16,Fibroblast,Ikzf5
Rsl24d12,7.05035338774266e-21,0.0201980459207298,0.234,0.155,1.40450089837222e-16,Fibroblast,Rsl24d1
AU0198233,7.63280782740484e-21,0.0294555085974653,0.208,0.135,1.52053164729732e-16,Fibroblast,AU019823
Tma161,8.14436078313781e-21,0.0203506048465264,0.14,0.083,1.62243811160888e-16,Fibroblast,Tma16
Cox162,8.37684259242269e-21,0.0154887881544845,0.125,0.072,1.66875081283652e-16,Fibroblast,Cox16
Atp5e2,9.36632371632082e-21,0.11157557155829,0.784,0.653,1.86586534752827e-16,Fibroblast,Atp5e
Thoc32,9.53151959686824e-21,0.0228572713345188,0.156,0.096,1.89877401889212e-16,Fibroblast,Thoc3
Gm81861,9.92718510795494e-21,0.0224038052434479,0.137,0.081,1.9775945453557e-16,Fibroblast,Gm8186
Dhx16,1.0126775956091e-20,0.0163306480674542,0.165,0.102,2.01735503821289e-16,Fibroblast,Dhx16
Dis32,1.04482539021103e-20,0.0339452973619608,0.136,0.081,2.08139665983938e-16,Fibroblast,Dis3
Ep4001,1.13454504007479e-20,0.0382434816202468,0.481,0.349,2.26012717433299e-16,Fibroblast,Ep400
Ttll42,1.16887602535969e-20,0.0462467688383164,0.109,0.061,2.32851793011905e-16,Fibroblast,Ttll4
Fam220a2,1.17264425822301e-20,0.0135200133731341,0.301,0.206,2.33602462680606e-16,Fibroblast,Fam220a
Gphn1,1.18271525349315e-20,0.020860368282121,0.145,0.087,2.35608705648371e-16,Fibroblast,Gphn
