,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Fabp41,0,4.7754462717003,0.843,0.171,0,Endothelial_cell,Fabp4
Tm4sf11,0,3.45119042764376,0.831,0.183,0,Endothelial_cell,Tm4sf1
Aqp1,0,3.28579954006369,0.628,0.102,0,Endothelial_cell,Aqp1
Selp,0,3.20672385190697,0.364,0.028,0,Endothelial_cell,Selp
Pecam1,0,3.18932150559443,0.804,0.055,0,Endothelial_cell,Pecam1
Ctla2a,0,3.18627508899918,0.726,0.076,0,Endothelial_cell,Ctla2a
Flt11,0,2.96059774486724,0.733,0.079,0,Endothelial_cell,Flt1
Ly6c1,0,2.95996010746765,0.762,0.168,0,Endothelial_cell,Ly6c1
Plvap,0,2.86329166640542,0.633,0.103,0,Endothelial_cell,Plvap
Ptprb,0,2.69645618119883,0.671,0.014,0,Endothelial_cell,Ptprb
Iigp11,0,2.68831198405183,0.614,0.089,0,Endothelial_cell,Iigp1
Cdh5,0,2.59056565236119,0.696,0.02,0,Endothelial_cell,Cdh5
Sele,0,2.4710171243185,0.319,0.009,0,Endothelial_cell,Sele
Adgrf5,0,2.39808744534594,0.66,0.021,0,Endothelial_cell,Adgrf5
Egfl7,0,2.33032441312431,0.684,0.028,0,Endothelial_cell,Egfl7
Ramp2,0,2.19771201802214,0.67,0.141,0,Endothelial_cell,Ramp2
Cyyr1,0,2.19176836025364,0.642,0.014,0,Endothelial_cell,Cyyr1
Adamts91,0,2.13912763653041,0.559,0.107,0,Endothelial_cell,Adamts9
Gng111,0,2.1357744817501,0.734,0.205,0,Endothelial_cell,Gng11
Epas11,0,2.05709783406831,0.688,0.149,0,Endothelial_cell,Epas1
Slfn51,0,2.05511874980529,0.65,0.196,0,Endothelial_cell,Slfn5
Eng,0,2.04407769802271,0.673,0.171,0,Endothelial_cell,Eng
Gpihbp1,0,2.04188672828557,0.395,0.008,0,Endothelial_cell,Gpihbp1
Igfbp71,0,2.0414366338621,0.841,0.491,0,Endothelial_cell,Igfbp7
Cavin2,0,2.0355814971702,0.592,0.061,0,Endothelial_cell,Cavin2
Emcn,0,2.03055636398263,0.587,0.012,0,Endothelial_cell,Emcn
Cd361,0,2.00885147575805,0.481,0.072,0,Endothelial_cell,Cd36
Esam1,0,1.99263252984583,0.638,0.053,0,Endothelial_cell,Esam
Apold11,0,1.97944598512514,0.61,0.086,0,Endothelial_cell,Apold1
Scarb1,0,1.95011508178159,0.581,0.134,0,Endothelial_cell,Scarb1
Tmem252,0,1.93956497511135,0.446,0.009,0,Endothelial_cell,Tmem252
Podxl,0,1.91581668932884,0.551,0.011,0,Endothelial_cell,Podxl
Kdr,0,1.9028943463368,0.572,0.038,0,Endothelial_cell,Kdr
Ehd41,0,1.89557933279508,0.627,0.244,0,Endothelial_cell,Ehd4
Mast42,0,1.87194139989646,0.608,0.174,0,Endothelial_cell,Mast4
Cav11,0,1.86404634887886,0.701,0.269,0,Endothelial_cell,Cav1
Gimap6,0,1.85460450696162,0.589,0.025,0,Endothelial_cell,Gimap6
Pdlim12,0,1.83990655753336,0.665,0.164,0,Endothelial_cell,Pdlim1
Cd931,0,1.83371799107966,0.621,0.11,0,Endothelial_cell,Cd93
Rasip1,0,1.82854125722035,0.633,0.057,0,Endothelial_cell,Rasip1
Adgrl4,0,1.81130955130449,0.526,0.007,0,Endothelial_cell,Adgrl4
Ecscr,0,1.80521687599465,0.586,0.054,0,Endothelial_cell,Ecscr
Cldn5,0,1.78591942036438,0.329,0.014,0,Endothelial_cell,Cldn5
Tspan131,0,1.77750719384446,0.599,0.101,0,Endothelial_cell,Tspan13
Myct1,0,1.77436977137906,0.568,0.01,0,Endothelial_cell,Myct1
Rnd1,0,1.7669475556979,0.547,0.073,0,Endothelial_cell,Rnd1
Abcg2,0,1.74965776906959,0.561,0.094,0,Endothelial_cell,Abcg2
Jam2,0,1.7272055269469,0.572,0.079,0,Endothelial_cell,Jam2
Uaca,0,1.72137254834744,0.576,0.11,0,Endothelial_cell,Uaca
Kitl1,0,1.70344624529892,0.632,0.172,0,Endothelial_cell,Kitl
Lrg1,0,1.70209413059466,0.477,0.105,0,Endothelial_cell,Lrg1
Mmrn2,0,1.7007445772858,0.568,0.016,0,Endothelial_cell,Mmrn2
Cd2001,0,1.68924163796711,0.558,0.16,0,Endothelial_cell,Cd200
Slc9a3r21,0,1.68407031704782,0.516,0.078,0,Endothelial_cell,Slc9a3r2
Ly6a,0,1.66678731126795,0.764,0.289,0,Endothelial_cell,Ly6a
Vwf,0,1.6621245907078,0.394,0.018,0,Endothelial_cell,Vwf
S1pr1,0,1.63786903211867,0.541,0.033,0,Endothelial_cell,S1pr1
Ltbp4,0,1.60153179777342,0.559,0.151,0,Endothelial_cell,Ltbp4
C130074G19Rik,0,1.58334792731792,0.508,0.01,0,Endothelial_cell,C130074G19Rik
Ece11,0,1.58149132685812,0.642,0.26,0,Endothelial_cell,Ece1
Clu,0,1.57345545894151,0.391,0.057,0,Endothelial_cell,Clu
Tinagl11,0,1.56440733587052,0.591,0.082,0,Endothelial_cell,Tinagl1
Tshz21,0,1.54590376040587,0.563,0.145,0,Endothelial_cell,Tshz2
Cd300lg,0,1.53411303953223,0.431,0.018,0,Endothelial_cell,Cd300lg
Pcdh17,0,1.53201669877255,0.473,0.032,0,Endothelial_cell,Pcdh17
Tspan7,0,1.50175288623181,0.526,0.068,0,Endothelial_cell,Tspan7
Crip22,0,1.47234745854887,0.676,0.288,0,Endothelial_cell,Crip2
Sox7,0,1.46978412009145,0.499,0.018,0,Endothelial_cell,Sox7
Sparcl11,0,1.46636745979786,0.709,0.22,0,Endothelial_cell,Sparcl1
Grrp1,0,1.4596416686909,0.48,0.011,0,Endothelial_cell,Grrp1
Itga61,0,1.41966363481958,0.586,0.141,0,Endothelial_cell,Itga6
Sox17,0,1.41159372669869,0.432,0.004,0,Endothelial_cell,Sox17
Arhgap31,0,1.39658696979811,0.596,0.216,0,Endothelial_cell,Arhgap31
Ablim1,0,1.38993424668976,0.562,0.147,0,Endothelial_cell,Ablim1
Rapgef52,0,1.37345394972753,0.463,0.036,0,Endothelial_cell,Rapgef5
Heg1,0,1.3591697585932,0.536,0.119,0,Endothelial_cell,Heg1
Mgll,0,1.35159258403243,0.546,0.138,0,Endothelial_cell,Mgll
Tie1,0,1.33510179877902,0.499,0.01,0,Endothelial_cell,Tie1
C1qtnf9,0,1.29928885654107,0.402,0.006,0,Endothelial_cell,C1qtnf9
Cd34,0,1.27814761905282,0.612,0.158,0,Endothelial_cell,Cd34
F11r1,0,1.26100056414475,0.533,0.086,0,Endothelial_cell,F11r
Pkp42,0,1.25971376018588,0.492,0.133,0,Endothelial_cell,Pkp4
Cdh13,0,1.25410606612246,0.482,0.097,0,Endothelial_cell,Cdh13
Palmd1,0,1.23896600430749,0.477,0.041,0,Endothelial_cell,Palmd
Arhgap291,0,1.21583911666892,0.554,0.173,0,Endothelial_cell,Arhgap29
Edn1,0,1.21571830771387,0.254,0.016,0,Endothelial_cell,Edn1
Adgrg11,0,1.21535284433156,0.486,0.05,0,Endothelial_cell,Adgrg1
Tcim2,0,1.21425774083237,0.441,0.092,0,Endothelial_cell,Tcim
Clic5,0,1.1806254610575,0.309,0.017,0,Endothelial_cell,Clic5
Sema7a,0,1.16438695771656,0.367,0.029,0,Endothelial_cell,Sema7a
Gbp4,0,1.14021885825115,0.333,0.018,0,Endothelial_cell,Gbp4
Plcb41,0,1.11985540857336,0.449,0.108,0,Endothelial_cell,Plcb4
Icam2,0,1.11264288849423,0.419,0.011,0,Endothelial_cell,Icam2
Mecom,0,1.09239169507781,0.389,0.004,0,Endothelial_cell,Mecom
Lrrc8c1,0,1.07703145593556,0.479,0.122,0,Endothelial_cell,Lrrc8c
Tek,0,1.05704460607085,0.428,0.015,0,Endothelial_cell,Tek
Dock9,0,1.05349306505668,0.463,0.12,0,Endothelial_cell,Dock9
Rgs161,0,1.05003971756461,0.423,0.082,0,Endothelial_cell,Rgs16
Shank3,0,1.0155537405093,0.396,0.016,0,Endothelial_cell,Shank3
Sox18,0,1.00965285089621,0.373,0.051,0,Endothelial_cell,Sox18
Ace,0,1.00849839904255,0.407,0.057,0,Endothelial_cell,Ace
Fgd5,0,1.00249807144668,0.431,0.057,0,Endothelial_cell,Fgd5
2200002D01Rik1,0,1.00145137518928,0.337,0.033,0,Endothelial_cell,2200002D01Rik
Unc45b,0,0.995623673147952,0.381,0.007,0,Endothelial_cell,Unc45b
Thbd,0,0.988743507242601,0.421,0.085,0,Endothelial_cell,Thbd
Pdgfb,0,0.987937855385165,0.346,0.04,0,Endothelial_cell,Pdgfb
Calcrl1,0,0.986315560073547,0.416,0.09,0,Endothelial_cell,Calcrl
Chp2,0,0.981730356944001,0.311,0.012,0,Endothelial_cell,Chp2
Bvht,0,0.971059651912039,0.397,0.06,0,Endothelial_cell,Bvht
Rbp7,0,0.959865414213876,0.182,0.003,0,Endothelial_cell,Rbp7
Ushbp1,0,0.956853727611861,0.354,0.006,0,Endothelial_cell,Ushbp1
Arhgef15,0,0.941310509106386,0.36,0.005,0,Endothelial_cell,Arhgef15
Bcam2,0,0.930767061531922,0.428,0.079,0,Endothelial_cell,Bcam
Mcam1,0,0.92038335038224,0.438,0.096,0,Endothelial_cell,Mcam
Vamp5,0,0.919034957264496,0.385,0.075,0,Endothelial_cell,Vamp5
She,0,0.908322490110909,0.351,0.011,0,Endothelial_cell,She
Mctp1,0,0.895589342886104,0.3,0.038,0,Endothelial_cell,Mctp1
Tcf151,0,0.894839207109357,0.265,0.031,0,Endothelial_cell,Tcf15
Aplnr,0,0.891230377557454,0.252,0.002,0,Endothelial_cell,Aplnr
Prkch1,0,0.883239389990839,0.425,0.064,0,Endothelial_cell,Prkch
Clec14a,0,0.878704716366535,0.329,0.024,0,Endothelial_cell,Clec14a
Galnt15,0,0.872824622422841,0.377,0.054,0,Endothelial_cell,Galnt15
Spns2,0,0.872565264985653,0.355,0.013,0,Endothelial_cell,Spns2
Meox21,0,0.850282206818257,0.365,0.046,0,Endothelial_cell,Meox2
Gimap5,0,0.83719370134349,0.352,0.007,0,Endothelial_cell,Gimap5
Dll4,0,0.829047577543933,0.24,0.006,0,Endothelial_cell,Dll4
Robo4,0,0.819489281022063,0.337,0.004,0,Endothelial_cell,Robo4
Parvb1,0,0.809525999816472,0.387,0.058,0,Endothelial_cell,Parvb
Plxna21,0,0.799992906371944,0.358,0.065,0,Endothelial_cell,Plxna2
Fam198b,0,0.799561060658709,0.335,0.051,0,Endothelial_cell,Fam198b
Sema3f1,0,0.792711781968791,0.369,0.07,0,Endothelial_cell,Sema3f
Adcy4,0,0.782414554161464,0.337,0.039,0,Endothelial_cell,Adcy4
Kank3,0,0.779306636406832,0.321,0.02,0,Endothelial_cell,Kank3
Adarb1,0,0.778807762300282,0.341,0.061,0,Endothelial_cell,Adarb1
Afap1l1,0,0.777324768862678,0.307,0.01,0,Endothelial_cell,Afap1l1
Rasgrp3,0,0.77588601719033,0.298,0.009,0,Endothelial_cell,Rasgrp3
Fam167b,0,0.773978833429999,0.265,0.002,0,Endothelial_cell,Fam167b
Gimap4,0,0.773818373770782,0.307,0.006,0,Endothelial_cell,Gimap4
Abcb1a,0,0.769127423600736,0.28,0.014,0,Endothelial_cell,Abcb1a
Ptprm,0,0.768464240002402,0.348,0.054,0,Endothelial_cell,Ptprm
Rapgef3,0,0.756491451938165,0.268,0.017,0,Endothelial_cell,Rapgef3
Nos3,0,0.744829870667519,0.298,0.007,0,Endothelial_cell,Nos3
Gbp9,0,0.738988772702174,0.316,0.039,0,Endothelial_cell,Gbp9
Rasgrf2,0,0.734033638426107,0.281,0.006,0,Endothelial_cell,Rasgrf2
Npr1,0,0.726275206141405,0.303,0.022,0,Endothelial_cell,Npr1
Ablim3,0,0.726205754694485,0.223,0.023,0,Endothelial_cell,Ablim3
Bcl6b,0,0.715287374519795,0.269,0.006,0,Endothelial_cell,Bcl6b
Pcdh11,0,0.713947935633534,0.341,0.058,0,Endothelial_cell,Pcdh1
2900026A02Rik1,0,0.703495483732345,0.345,0.059,0,Endothelial_cell,2900026A02Rik
Plscr2,0,0.695377390306379,0.249,0.009,0,Endothelial_cell,Plscr2
Gata2,0,0.687163073707986,0.255,0.01,0,Endothelial_cell,Gata2
Cracr2b,0,0.686579200765882,0.315,0.025,0,Endothelial_cell,Cracr2b
Smagp1,0,0.665899135368059,0.306,0.037,0,Endothelial_cell,Smagp
Arap3,0,0.663345125983064,0.311,0.022,0,Endothelial_cell,Arap3
Vwa1,0,0.66263051593929,0.262,0.024,0,Endothelial_cell,Vwa1
Gimap1,0,0.661144493748843,0.287,0.01,0,Endothelial_cell,Gimap1
Ebf31,0,0.633915046640524,0.28,0.031,0,Endothelial_cell,Ebf3
Mall,0,0.611239730261361,0.248,0.008,0,Endothelial_cell,Mall
Dysf,0,0.596051020888014,0.256,0.017,0,Endothelial_cell,Dysf
Tnfrsf10b,0,0.584775725397658,0.264,0.029,0,Endothelial_cell,Tnfrsf10b
Ccm2l,0,0.575809112801388,0.229,0.004,0,Endothelial_cell,Ccm2l
Tspan121,0,0.566744513271883,0.283,0.04,0,Endothelial_cell,Tspan12
Sorbs21,0,0.541325326451582,0.292,0.036,0,Endothelial_cell,Sorbs2
Syt15,0,0.540132834799219,0.22,0.003,0,Endothelial_cell,Syt15
Shroom4,0,0.539101931928242,0.226,0.01,0,Endothelial_cell,Shroom4
Ccdc85a,0,0.535175769531003,0.138,0.002,0,Endothelial_cell,Ccdc85a
Pkn3,0,0.530026125015064,0.249,0.016,0,Endothelial_cell,Pkn3
Erg,0,0.525198067346488,0.211,0.004,0,Endothelial_cell,Erg
Gimap9,0,0.503338494345248,0.218,0.014,0,Endothelial_cell,Gimap9
Meox1,0,0.502552464573249,0.197,0.015,0,Endothelial_cell,Meox1
Nova2,0,0.489989462065848,0.209,0.005,0,Endothelial_cell,Nova2
Notch4,0,0.488326373230813,0.19,0.009,0,Endothelial_cell,Notch4
Tnfsf10,0,0.478554606882046,0.195,0.006,0,Endothelial_cell,Tnfsf10
Tal1,0,0.476775270962719,0.203,0.006,0,Endothelial_cell,Tal1
Clec1a,0,0.475391734033891,0.211,0.013,0,Endothelial_cell,Clec1a
Tmem255b,0,0.464061048890357,0.215,0.005,0,Endothelial_cell,Tmem255b
Ifi44,0,0.458631454041372,0.173,0.007,0,Endothelial_cell,Ifi44
Myzap,0,0.453872750165389,0.205,0.017,0,Endothelial_cell,Myzap
Lhx6,0,0.450938088193258,0.182,0.004,0,Endothelial_cell,Lhx6
Thrsp,0,0.421569827855969,0.107,0.001,0,Endothelial_cell,Thrsp
Zfp366,0,0.40766444838261,0.164,0.006,0,Endothelial_cell,Zfp366
Gpr41,0,0.407614185453219,0.199,0.014,0,Endothelial_cell,Gpr4
Tacr1,0,0.406760340123664,0.147,0.005,0,Endothelial_cell,Tacr1
Mfng,0,0.403770875422939,0.199,0.014,0,Endothelial_cell,Mfng
Rapgef4,0,0.388702852765396,0.169,0.011,0,Endothelial_cell,Rapgef4
Nxpe2,0,0.384436986811108,0.143,0.002,0,Endothelial_cell,Nxpe2
Bik,0,0.379361695804958,0.179,0.008,0,Endothelial_cell,Bik
Zfp979,0,0.377838319743849,0.152,0.008,0,Endothelial_cell,Zfp979
Gimap8,0,0.375171104547086,0.178,0.005,0,Endothelial_cell,Gimap8
AU021092,0,0.368586728636861,0.171,0.001,0,Endothelial_cell,AU021092
Exoc3l2,0,0.354038284472622,0.16,0.004,0,Endothelial_cell,Exoc3l2
Scarf1,0,0.346117431524345,0.194,0.012,0,Endothelial_cell,Scarf1
B3gnt3,0,0.33849896296814,0.163,0.004,0,Endothelial_cell,B3gnt3
Gm12002,0,0.320627661167389,0.106,0.001,0,Endothelial_cell,Gm12002
Hoxd10,0,0.314571787087565,0.129,0.002,0,Endothelial_cell,Hoxd10
4833403J16Rik,0,0.287480965669671,0.133,0.002,0,Endothelial_cell,4833403J16Rik
Asb4,0,0.28464422758326,0.106,0.002,0,Endothelial_cell,Asb4
Jag21,5.39577364736003e-308,0.699968957279603,0.288,0.042,1.07489206829059e-303,Endothelial_cell,Jag2
Stc1,3.01314634373297e-307,0.996150229348673,0.284,0.041,6.00248883135045e-303,Endothelial_cell,Stc1
Sema6a,4.52899599188678e-306,0.969427671930548,0.419,0.097,9.02221291543766e-302,Endothelial_cell,Sema6a
Cda,1.39851383309821e-303,0.269300088063328,0.14,0.006,2.78597940691494e-299,Endothelial_cell,Cda
Lims21,2.37005865871463e-302,0.710324097478209,0.263,0.035,4.72139385402541e-298,Endothelial_cell,Lims2
8430408G22Rik,1.13280576956259e-298,0.352503784345699,0.107,0.002,2.25666237354563e-294,Endothelial_cell,8430408G22Rik
Mcf2l,4.12334663475055e-297,0.520734088801957,0.167,0.012,8.21411883108656e-293,Endothelial_cell,Mcf2l
Stap2,1.20739986318094e-295,0.292088276698438,0.165,0.011,2.40526126744275e-291,Endothelial_cell,Stap2
Als2cl,1.09288076515028e-292,0.341472061137978,0.163,0.011,2.17712777225586e-288,Endothelial_cell,Als2cl
Dach1,1.97931789296317e-290,0.567184364196559,0.236,0.029,3.94299917457194e-286,Endothelial_cell,Dach1
Slco2a1,5.63564178725783e-290,1.47697285866099,0.414,0.102,1.12267620043963e-285,Endothelial_cell,Slco2a1
Prex2,5.97681922090877e-289,1.12190255904944,0.539,0.167,1.19064215699724e-284,Endothelial_cell,Prex2
Ly6e1,2.02824548691724e-287,1.5065665542755,0.762,0.42,4.04046783448783e-283,Endothelial_cell,Ly6e
Sult1a1,5.50770105525107e-286,0.659575112683923,0.24,0.03,1.09718912721657e-281,Endothelial_cell,Sult1a1
Hspb12,3.62066418516311e-280,1.34106805513898,0.707,0.319,7.21272512326344e-276,Endothelial_cell,Hspb1
Tspan151,4.59161136762939e-279,0.529890443413592,0.261,0.037,9.14694900545451e-275,Endothelial_cell,Tspan15
Pcdh12,2.12207711225979e-278,0.25885943901806,0.117,0.004,4.22738981533272e-274,Endothelial_cell,Pcdh12
Nfib2,1.17529496213251e-277,1.08680336414877,0.658,0.25,2.34130509406417e-273,Endothelial_cell,Nfib
Sptbn11,3.35844147600473e-276,1.729563028,0.789,0.519,6.69035126434903e-272,Endothelial_cell,Sptbn1
Fam43a,2.87438377089211e-273,0.902984751059638,0.383,0.089,5.72605990999417e-269,Endothelial_cell,Fam43a
Nxpe4,1.10039105685491e-272,0.459530199328321,0.199,0.021,2.19208902436068e-268,Endothelial_cell,Nxpe4
9930111J21Rik21,2.38085872081453e-271,1.20715228738497,0.36,0.077,4.74290865773462e-267,Endothelial_cell,9930111J21Rik2
Fmo2,1.14359497783209e-270,1.05480806568961,0.214,0.025,2.2781555553393e-266,Endothelial_cell,Fmo2
Plcb1,4.25377572569332e-269,0.81594160929864,0.375,0.086,8.47394662315367e-265,Endothelial_cell,Plcb1
Bcr1,7.99028847205985e-267,1.19966416316401,0.454,0.13,1.59174536651904e-262,Endothelial_cell,Bcr
Prkd2,2.32772866630321e-266,0.823940806391321,0.391,0.095,4.63706827614263e-262,Endothelial_cell,Prkd2
Filip11,3.64671856612422e-266,0.537605325510815,0.249,0.035,7.26462805557605e-262,Endothelial_cell,Filip1
Gngt21,5.38831461216947e-266,0.977231475549432,0.486,0.144,1.07340615389028e-261,Endothelial_cell,Gngt2
Fli11,6.10436980688152e-266,0.927755999921688,0.43,0.113,1.21605150922887e-261,Endothelial_cell,Fli1
Sema6b,2.3242676830643e-265,0.425429649824089,0.211,0.025,4.6301736514324e-261,Endothelial_cell,Sema6b
4931406P16Rik1,2.34484164786295e-256,1.02488418015267,0.474,0.152,4.67115904670778e-252,Endothelial_cell,4931406P16Rik
Lama52,1.3862959793247e-255,0.548211562522349,0.316,0.059,2.76164022041274e-251,Endothelial_cell,Lama5
Gpr146,6.45935786093145e-255,0.508399027911019,0.265,0.043,1.28676867947615e-250,Endothelial_cell,Gpr146
Tmem44,1.9121140142282e-253,0.324058629603373,0.168,0.015,3.809122327744e-249,Endothelial_cell,Tmem44
Gm4070,2.69236685142676e-250,0.343211352685229,0.154,0.012,5.36346400472726e-246,Endothelial_cell,Gm4070
Nrp11,5.10655263556955e-250,1.19953079201189,0.512,0.173,1.01727635053181e-245,Endothelial_cell,Nrp1
Lmo71,1.38901823368522e-249,0.598234913755869,0.287,0.052,2.76706322332433e-245,Endothelial_cell,Lmo7
Sigirr,6.70594053146041e-249,0.238372944321187,0.129,0.007,1.33589041327223e-244,Endothelial_cell,Sigirr
Ifitm31,3.491951293803e-243,1.32517844946308,0.905,0.725,6.95631617238496e-239,Endothelial_cell,Ifitm3
Ets11,4.49156480195893e-243,1.24875083170168,0.663,0.318,8.94764624198239e-239,Endothelial_cell,Ets1
Pcp4l11,4.79246313959286e-242,0.684329486687792,0.285,0.051,9.54706582038293e-238,Endothelial_cell,Pcp4l1
Caskin21,2.99096621093938e-240,0.51630502265405,0.262,0.045,5.95830378881233e-236,Endothelial_cell,Caskin2
Apbb21,3.66644532218019e-238,1.04749022481726,0.514,0.188,7.30392572631516e-234,Endothelial_cell,Apbb2
A030001D20Rik,8.22022165584872e-238,0.238903079797946,0.136,0.01,1.63755035606162e-233,Endothelial_cell,A030001D20Rik
Itgb41,2.57792743828164e-236,0.545799881237153,0.285,0.053,5.13548924980086e-232,Endothelial_cell,Itgb4
Lpar6,1.48989512364828e-234,0.551050079839068,0.247,0.041,2.96802007581973e-230,Endothelial_cell,Lpar6
Tcf4,1.38305234185589e-232,1.40916848589428,0.751,0.505,2.75517857021112e-228,Endothelial_cell,Tcf4
Tmcc31,4.42820245818695e-231,0.683211735203906,0.327,0.072,8.82142211695423e-227,Endothelial_cell,Tmcc3
Ptprg1,1.14051093690748e-230,0.920741297098691,0.405,0.118,2.2720118374134e-226,Endothelial_cell,Ptprg
Ppp1r16b,6.18347502123133e-230,0.419049465350937,0.283,0.051,1.23181005897949e-225,Endothelial_cell,Ppp1r16b
Rnf125,1.94729902525982e-229,0.695973228802421,0.348,0.081,3.87921438822009e-225,Endothelial_cell,Rnf125
Pdgfd,4.68688617812741e-229,0.32400898552909,0.131,0.009,9.33674595544761e-225,Endothelial_cell,Pdgfd
Cav21,7.06171196334541e-228,0.938282672184198,0.431,0.133,1.40676364021804e-223,Endothelial_cell,Cav2
Cdc42ep31,1.03648811677599e-227,1.19415847907967,0.505,0.182,2.06478797742946e-223,Endothelial_cell,Cdc42ep3
Crim12,5.20539640606679e-227,1.01697082395301,0.494,0.174,1.03696701805257e-222,Endothelial_cell,Crim1
Stmn2,7.84435251128631e-227,1.16030561873197,0.292,0.059,1.56267346377335e-222,Endothelial_cell,Stmn2
Fzd41,5.30622372663196e-226,0.603148094418332,0.29,0.059,1.05705282858235e-221,Endothelial_cell,Fzd4
Lmo21,1.47133595610403e-225,0.763633199217228,0.354,0.087,2.93104835815485e-221,Endothelial_cell,Lmo2
Rflnb,1.32270521197208e-224,1.09098449313057,0.396,0.113,2.63496105276958e-220,Endothelial_cell,Rflnb
Cxcl12,1.24019315977087e-223,1.76089565545454,0.517,0.185,2.47058879357955e-219,Endothelial_cell,Cxcl12
Acer2,4.93974074954225e-221,0.419930815448148,0.16,0.016,9.84045754716312e-217,Endothelial_cell,Acer2
Ehd21,6.13126192801594e-221,0.982436416324755,0.461,0.156,1.22140868868006e-216,Endothelial_cell,Ehd2
Rtl8a1,1.79551088444675e-220,0.946316601094261,0.401,0.122,3.57683723290638e-216,Endothelial_cell,Rtl8a
Hspa12b,5.38461331820485e-220,0.382851281776047,0.17,0.019,1.07266881911959e-215,Endothelial_cell,Hspa12b
Cmtm81,1.09048663659404e-219,0.455764997136458,0.207,0.03,2.17235842875899e-215,Endothelial_cell,Cmtm8
Pdzd21,1.77354372380701e-219,0.775802613116683,0.36,0.092,3.53307645219594e-215,Endothelial_cell,Pdzd2
Ripor11,3.28541815689271e-219,0.642255592615356,0.352,0.09,6.54488151034597e-215,Endothelial_cell,Ripor1
Sncaip,4.85561062540824e-219,0.423601057542376,0.173,0.02,9.67286192687576e-215,Endothelial_cell,Sncaip
Rbpms1,5.37942199254092e-219,1.11901841546329,0.594,0.265,1.07163465513408e-214,Endothelial_cell,Rbpms
Ica1,1.04684956988133e-217,0.268341382073508,0.142,0.012,2.0854290281606e-213,Endothelial_cell,Ica1
Adam151,2.85117809953105e-217,1.00528752798628,0.482,0.177,5.67983189207581e-213,Endothelial_cell,Adam15
Lrrc321,5.44920950563287e-217,0.925776250219838,0.411,0.124,1.08553702561712e-212,Endothelial_cell,Lrrc32
Fam13c1,1.39426052461257e-216,0.59818806060877,0.259,0.049,2.77750639108071e-212,Endothelial_cell,Fam13c
Socs2,6.33636217340951e-216,1.01009598001942,0.455,0.154,1.26226670856491e-211,Endothelial_cell,Socs2
Endou,6.750863458587e-214,0.403297473009475,0.143,0.013,1.34483950958512e-209,Endothelial_cell,Endou
Jcad1,2.05891729355872e-213,0.810342020371057,0.325,0.08,4.10156914049833e-209,Endothelial_cell,Jcad
Slc16a13,9.02018165804573e-212,0.2954038091023,0.12,0.008,1.79691038809929e-207,Endothelial_cell,Slc16a13
Mmp15,2.33235505557112e-211,0.312398164436795,0.145,0.014,4.64628450620322e-207,Endothelial_cell,Mmp15
Slc43a3,2.48958609531925e-211,0.701809318624259,0.339,0.084,4.95950446048547e-207,Endothelial_cell,Slc43a3
Smco41,2.57315132055938e-209,0.765442079748676,0.368,0.103,5.12597474568633e-205,Endothelial_cell,Smco4
Anxa32,3.80440915587195e-207,0.742403867457138,0.429,0.131,7.57876347941252e-203,Endothelial_cell,Anxa3
Rtl8b,1.00812901188883e-204,0.658118052735346,0.308,0.074,2.00829380458374e-200,Endothelial_cell,Rtl8b
Ldb2,1.4190793591624e-203,0.69974759277022,0.328,0.083,2.82694799138743e-199,Endothelial_cell,Ldb2
Ccdc88c,2.85526188605356e-202,0.569780924674065,0.299,0.066,5.6879672032073e-198,Endothelial_cell,Ccdc88c
Hbegf2,3.66842351666692e-201,1.35807307999034,0.505,0.202,7.30786648755216e-197,Endothelial_cell,Hbegf
Timp31,4.38197046200578e-200,1.17015160328291,0.628,0.286,8.72932335736172e-196,Endothelial_cell,Timp3
Mapk12,3.81797281852885e-199,0.38359714870716,0.18,0.024,7.60578365179132e-195,Endothelial_cell,Mapk12
Synm1,1.52680172718124e-198,0.490232117730323,0.273,0.056,3.04154172071776e-194,Endothelial_cell,Synm
Syt7,5.55961031979788e-198,0.232284341928881,0.117,0.009,1.10752997180694e-193,Endothelial_cell,Syt7
Elk31,4.46590291935404e-197,0.848040264218826,0.438,0.152,8.89652520564518e-193,Endothelial_cell,Elk3
Abi3,3.47433047320152e-196,0.310069121625024,0.152,0.017,6.92121373566475e-192,Endothelial_cell,Abi3
Il61,8.57567339660679e-195,1.32918405235151,0.53,0.211,1.70835989733804e-190,Endothelial_cell,Il6
Cavin11,4.66425173039509e-192,1.12009150234174,0.728,0.43,9.29165587212006e-188,Endothelial_cell,Cavin1
Clic42,2.99293505319884e-190,1.25211452504808,0.779,0.596,5.96222591947742e-186,Endothelial_cell,Clic4
Ralb1,6.5699913681217e-188,0.96490013121784,0.524,0.228,1.30880798044352e-183,Endothelial_cell,Ralb
Fzd6,1.17364501165644e-186,0.317460911627812,0.16,0.02,2.3380182277208e-182,Endothelial_cell,Fzd6
Arhgef71,1.08306079375795e-185,0.974674826887795,0.47,0.186,2.15756540724521e-181,Endothelial_cell,Arhgef7
Dock61,1.22522889089871e-185,0.563487922758106,0.303,0.076,2.44077847355932e-181,Endothelial_cell,Dock6
Afdn1,7.43152594566335e-184,1.02593916245172,0.552,0.252,1.4804342836356e-179,Endothelial_cell,Afdn
