,AWD01,AWD02,AWD03,AWD11,AWD12,AWD13,AWD71,AWD72,AWD73,AWD301,AWD302,AWD303,GSM7847134_diac32_filtered_feature_bc_matrix,GSM7847135_diac34_filtered_feature_bc_matrix,GSM7847136_diac35_filtered_feature_bc_matrix,GSM7847137_diac36_filtered_feature_bc_matrix,GSM7847138_diac37_filtered_feature_bc_matrix,GSM7847139_diac38_filtered_feature_bc_matrix,GSM7847140_diac39_filtered_feature_bc_matrix,GSM7847141_diac44a_filtered_feature_bc_matrix,GSM7847142_diac44b_filtered_feature_bc_matrix,GSM7847143_diac44c_filtered_feature_bc_matrix,GSM7847144_diac50a_filtered_feature_bc_matrix,GSM7847145_diac50b_filtered_feature_bc_matrix,HS1,HS2,HS3,HS4,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,NS1,NS2,NS3,NS4,NS5,NS6,NS7,S6,S7,S8,S9,S10,S11
FOXP3+ LC,0.076502732,0.097087379,0.044117647,0.06185567,0.066666667,0.074349442,0.075555556,0.074545455,0.092517007,0.104683196,0.153153153,0.084033613,0.18556701,0.067961165,0.029411765,0.084033613,0.022641509,0.116883117,0.25,0.115740741,0.137096774,0.044397463,0.288888889,0.051212938,0.107205624,0.041401274,0.0642978,0.125,0.087671233,0.046195652,0.0625,0.066666667,0.216216216,0.080645161,0.071428571,0.033232628,0.026315789,0.062169312,0.093233083,0.146067416,0.125,0.031078611,0.061728395,0.09375,0.013513514,0.039215686,0.069767442,0.151162791,0.056657224,0.096938776,0.033898305,0.054455446,0.051643192
CCR4+ LC,0.56557377,0.432038835,0.502941176,0.520618557,0.490909091,0.50929368,0.473333333,0.361818182,0.318367347,0.371900826,0.292792793,0.300420168,0.103092784,0,0,0.079831933,0,0,0,0.00462963,0,0.012684989,0,0.035040431,0.168717047,0.143312102,0.121827411,0.244791667,0.046575342,0.086956522,0.1875,0.266666667,0.297297297,0.098387097,0.023809524,0.045317221,0,0.099206349,0.046616541,0.164794007,0.24375,0.109689214,0.12345679,0.125,0.310810811,0.470588235,0.372093023,0.162790698,0.201133144,0.258503401,0.152542373,0.222772277,0.234741784
ARPC1B+ LC,0.010928962,0.004854369,0.002941176,0,0,0.003717472,0.024444444,0.014545455,0.020408163,0.011019284,0.027027027,0.014705882,0.006872852,0,0.176470588,0.016806723,0.00754717,0.077922078,0.25,0.041666667,0.004032258,0.012684989,0,0.013477089,0.010544815,0.00955414,0.008460237,0.015625,0.010958904,0.016304348,0.25,0,0.135135135,0.008064516,0.142857143,0.024169184,0.184210526,0.012566138,0.012030075,0.014981273,0,0.005484461,0.037037037,0.03125,0.081081081,0.039215686,0.023255814,0,0,0.005102041,0.016949153,0,0.004694836
ITK+ LC,0.010928962,0,0.005882353,0,0.002020202,0,0.004444444,0.001818182,0.002721088,0.011019284,0.004504505,0.004201681,0.006872852,0,0,0.006302521,0,0.012987013,0,0,0,0.003171247,0,0.005390836,0.021089631,0.02866242,0.020304569,0.015625,0.005479452,0.002717391,0,0.066666667,0.027027027,0.019354839,0.023809524,0.021148036,0,0.009920635,0.006015038,0.003745318,0.03125,0.031078611,0.049382716,0.015625,0.013513514,0,0,0.011627907,0.005665722,0.018707483,0,0.00990099,0.014084507
GAS5+ LC,0.057377049,0.053398058,0.073529412,0.154639175,0.151515152,0.159851301,0.082222222,0.103636364,0.078911565,0.110192837,0.126126126,0.102941176,0,0,0,0,0,0,0,0,0,0,0.022222222,0.008086253,0,0,0,0.005208333,0,0.010869565,0,0,0,0,0.023809524,0.003021148,0,0.009920635,0.012030075,0.003745318,0,0,0,0,0,0,0,0,0,0,0,0,0
KLRB1+ LC,0.005464481,0.014563107,0.002941176,0.051546392,0.038383838,0.040892193,0.015555556,0.049090909,0.042176871,0.016528926,0.027027027,0.014705882,0,0,0,0.00210084,0,0,0,0,0,0.001057082,0,0.005390836,0.003514938,0,0,0,0,0,0,0,0,0,0,0,0,0.003968254,0,0,0,0,0,0,0,0,0,0,0,0.003401361,0,0,0
CD206+ MC,0.129482072,0.069908815,0.112531969,0.053030303,0.063694268,0.040372671,0.084278768,0.074340528,0.124542125,0.154494382,0.198492462,0.175409836,0.176470588,0.134078212,0.247920133,0.160747664,0.143895349,0.198356808,0.3125,0.225352113,0.184782609,0.033068783,0.226618705,0.25,0.115740741,0.11038961,0.217983651,0.205882353,0.390804598,0.381231672,0.188888889,0.099337748,0.140969163,0.336283186,0.12688172,0.17953668,0.088372093,0.125532739,0.148727984,0.469767442,0.117647059,0.090811966,0.178353659,0.287234043,0.101973684,0.050359712,0.05,0.0625,0.091525424,0.077625571,0.058139535,0.072368421,0.081168831
CCR7+ MC,0.342629482,0.446808511,0.289002558,0.234848485,0.303609342,0.276397516,0.28363047,0.31294964,0.266178266,0.359550562,0.33919598,0.267213115,0.058823529,0.039106145,0.016638935,0.061682243,0.002906977,0.077464789,0,0,0,0.037037037,0,0.038590604,0.25462963,0.087662338,0.242506812,0.12745098,0.021072797,0.011730205,0.255555556,0.284768212,0.308370044,0.109144543,0.090322581,0.146718147,0.123255814,0.041844246,0.031311155,0.060465116,0.254901961,0.22008547,0.141768293,0.095744681,0.276315789,0.230215827,0.1625,0.0390625,0.047457627,0.077625571,0.034883721,0.039473684,0.081168831
CD1C+ MC,0.047808765,0.036474164,0.046035806,0.002525253,0.004246285,0.00621118,0.01458671,0.022781775,0.042735043,0.098314607,0.103015075,0.168852459,0.223529412,0.061452514,0.073211314,0.043457944,0.036337209,0.124413146,0.21875,0.352112676,0.22826087,0.093915344,0.050359712,0.052013423,0.236111111,0.178571429,0.190735695,0.294117647,0.147509579,0.202346041,0.166666667,0.158940397,0.114537445,0.132743363,0.120430108,0.113899614,0.123255814,0.077101898,0.070450098,0.186046512,0.176470588,0.145299145,0.092987805,0.180851064,0.180921053,0.251798561,0.1625,0.1796875,0.152542373,0.180365297,0.139534884,0.210526316,0.220779221
S100A8+ MC,0.007968127,0.006079027,0.00511509,0.022727273,0.014861996,0.02484472,0.008103728,0.019184652,0.013431013,0.002808989,0.002512563,0.003278689,0,0.145251397,0.149750416,0.189719626,0.248546512,0.095070423,0.09375,0.014084507,0.065217391,0.042328042,0.089928058,0.14261745,0.037037037,0.048701299,0.016348774,0,0.001915709,0.005865103,0.005555556,0.006622517,0,0.017699115,0.062365591,0.05984556,0.074418605,0.076327005,0.123287671,0.004651163,0.019607843,0.057692308,0.0625,0,0.016447368,0.007194245,0,0.0078125,0,0.002283105,0,0,0
HMOX1+ MC,0.34063745,0.358662614,0.381074169,0.404040404,0.326963907,0.350931677,0.442463533,0.362110312,0.3003663,0.168539326,0.158291457,0.137704918,0.035294118,0.167597765,0.179700499,0.244859813,0.125,0.20657277,0.15625,0.014084507,0.076086957,0.011904762,0.18705036,0.169463087,0.037037037,0.035714286,0.128065395,0.039215686,0.124521073,0.123167155,0.183333333,0.119205298,0.185022026,0.120943953,0.066666667,0.075289575,0.03255814,0.071677644,0.307240705,0.088372093,0.058823529,0.077991453,0.175304878,0.031914894,0.167763158,0.086330935,0.0875,0.046875,0.098305085,0.123287671,0.034883721,0.052631579,0.081168831
SPP1+ MC,0.005976096,0.006079027,0.025575448,0.03030303,0.021231423,0.01242236,0.021069692,0.023980815,0.01953602,0.025280899,0.030150754,0.024590164,0.129411765,0.044692737,0.06156406,0.039252336,0.055232558,0.049295775,0.125,0.056338028,0.054347826,0.033068783,0.086330935,0.035234899,0.055555556,0.068181818,0.038147139,0.049019608,0.095785441,0.105571848,0.033333333,0.006622517,0.022026432,0.08259587,0.055913978,0.069498069,0.058139535,0.077489345,0.091976517,0.055813953,0.039215686,0.034188034,0.047256098,0.106382979,0.016447368,0.014388489,0,0.0078125,0.027118644,0.01369863,0.058139535,0.013157895,0.025974026
TM4SF1+ MC,0,0,0,0.002525253,0.004246285,0,0,0.002398082,0,0.002808989,0.002512563,0.006557377,0,0.022346369,0.001663894,0.006074766,0.00872093,0.007042254,0,0,0,0,0.039568345,0.001677852,0.009259259,0.181818182,0,0.098039216,0.045977011,0.008797654,0.072222222,0.039735099,0.017621145,0.02359882,0.139784946,0.021235521,0.102325581,0.079814026,0.046966732,0.009302326,0.137254902,0.040598291,0.056402439,0.031914894,0.032894737,0.050359712,0.1,0.03125,0.010169492,0.025114155,0.046511628,0,0.016233766
IL1B+ MC,0.043824701,0.015197568,0.028132992,0.159090909,0.129511677,0.161490683,0.074554295,0.065947242,0.073260073,0.036516854,0.022613065,0.02295082,0.094117647,0.284916201,0.176372712,0.114485981,0.05377907,0.143192488,0,0,0.130434783,0.068783069,0.100719424,0.236577181,0.041666667,0.006493506,0.027247956,0,0,0.002932551,0.011111111,0.006622517,0.013215859,0.020648968,0.010752688,0.025096525,0.004651163,0.010073615,0.052837573,0.023255814,0.019607843,0.033119658,0.028963415,0.010638298,0.111842105,0.007194245,0.0125,0,0.003389831,0,0,0,0
HLA-DQ+ MC,0.003984064,0,0.012787724,0.002525253,0,0,0.004862237,0.003597122,0.002442002,0.002808989,0.002512563,0.031147541,0.164705882,0.05027933,0.02828619,0.112149533,0.229651163,0.07629108,0,0.23943662,0.086956522,0.593915344,0.032374101,0.053691275,0.083333333,0.142857143,0.065395095,0.058823529,0.076628352,0.052785924,0.005555556,0,0.008810573,0.085545723,0.253763441,0.21042471,0.295348837,0.317706315,0.062622309,0.041860465,0,0.219017094,0.138719512,0.159574468,0.026315789,0.050359712,0.0125,0.0078125,0.023728814,0.015981735,0.011627907,0.046052632,0.025974026
CD207+ MC,0.015936255,0.012158055,0.043478261,0.055555556,0.050955414,0.083850932,0.016207455,0.010791367,0.018315018,0.030898876,0.007537688,0.039344262,0.070588235,0.016759777,0.003327787,0.00046729,0,0.005868545,0.09375,0.014084507,0.097826087,0.006613757,0,0.001677852,0.013888889,0,0.002724796,0.029411765,0.024904215,0.011730205,0.022222222,0.125827815,0.017621145,0.017699115,0,0.011583012,0.009302326,0.011235955,0.025440313,0,0.039215686,0.016025641,0.009146341,0,0.013157895,0.194244604,0.4,0.453125,0.369491525,0.410958904,0.5,0.467105263,0.386363636
CLEC9A+ MC,0.049800797,0.030395137,0.030690537,0.02020202,0.029723992,0.034161491,0.034035656,0.079136691,0.101343101,0.095505618,0.09798995,0.091803279,0.023529412,0.016759777,0,0.007009346,0.001453488,0.007042254,0,0.028169014,0.043478261,0.025132275,0,0.003355705,0.101851852,0.045454545,0.057220708,0.009803922,0.024904215,0.064516129,0.05,0.139072848,0.140969163,0.029498525,0.03655914,0.055984556,0.039534884,0.013173189,0.009784736,0.046511628,0.078431373,0.020299145,0.050304878,0.042553191,0.049342105,0.050359712,0,0.03125,0.061016949,0.01826484,0.023255814,0.013157895,0.012987013
S100A7+ MC,0.003984064,0.006079027,0.017902813,0.007575758,0.040339703,0.00621118,0.006482982,0.003597122,0.012210012,0.002808989,0.007537688,0.003278689,0.011764706,0.016759777,0.058236273,0.01728972,0.087209302,0.004694836,0,0.014084507,0.02173913,0.023809524,0.18705036,0.013422819,0.00462963,0.090909091,0.002724796,0.068627451,0.040229885,0.020527859,0.005555556,0.006622517,0,0.014749263,0.030107527,0.021235521,0.037209302,0.094149554,0.02739726,0.004651163,0.019607843,0.039529915,0.015243902,0.053191489,0.003289474,0.007194245,0.0125,0.1328125,0.115254237,0.052511416,0.093023256,0.085526316,0.068181818
LTB+ MC,0.007968127,0.012158055,0.007672634,0.005050505,0.010615711,0.00310559,0.009724473,0.019184652,0.025641026,0.019662921,0.027638191,0.027868852,0.011764706,0,0.003327787,0.002803738,0.007267442,0.004694836,0,0.042253521,0.010869565,0.03042328,0,0.001677852,0.009259259,0.003246753,0.010899183,0.019607843,0.005747126,0.008797654,0,0.006622517,0.030837004,0.008849558,0.006451613,0.00965251,0.011627907,0.003874467,0.001956947,0.009302326,0.039215686,0.00534188,0.00304878,0,0.003289474,0,0,0,0,0.002283105,0,0,0
